name,place_id
i90,ChIJ69DJlTHUfUgRvStvDk_6hKw
Indigo Software Limited,ChIJ7-NYkm99fkgRjBFlNdIfDNM
Grape Software,ChIJGXplnXh9fkgRyhtCRTxaIr0
Denore Trading,ChIJ6ebWAwzUfUgR35ndscwox8k
Bespoke Software Development,ChIJhYU2oxczdkgRPcgFDjjTado
Unified Software Ltd,ChIJqav8VTtjfkgRRxcPbX4HPJw
Database Software Solutions Ltd,ChIJkQ11153afUgRNVwdFC5TJBo
OnePoint Systems Ltd,ChIJX2z45ad8fkgRQ9bz85tmNCU
RAMs Software,ChIJ6U1wCHp3fkgRkTFQUNfMJbE
iComunico,ChIJAQAARWzafUgRBiq5nK7okFw
Specilaist Ai,ChIJExdRGlqBfkgRKIlqk_AKz1c
Northgate Systems,ChIJXTquhewzfEgR5KgQMZ71Fu0
Solid Solutions - SolidWorks in Durham,ChIJb7L3VTtjfkgReIVHIORTHjc
Orangetree Online,ChIJ0_O4s8zXfUgRaq0G_54ut80
Recite Me - Web Accessibility Software,ChIJRx3HM7xwfkgR5zxUXIvLWmo
Continuum-IT Ltd.,ChIJHUODyR_WfUgRzGO5HIoAmQA
Verum Digital,ChIJw7urt-wLLQwRao_gUxYNTlY
Computer Technology Services,ChIJG9uWVXd9fkgRPo-OXtGrjU4
Discovery Design,ChIJQ_tR9VmCfkgR2EyIAVcn34U
Nutshell Apps,ChIJS5RYMrxwfkgRwoED6wVsVGE
Choppity,ChIJd75wNZx9fkgRajX5LqnZ1Fs
The Broadband Computer Company,ChIJOUo_P-txfkgRs0iW_jYEwtQ
E S Systems Ltd,ChIJ292_il5-fkgRr1U3h3W7ExA
WebsiteProject4u I Web Design Consett I Tanie Strony Internetowe UK,ChIJO0r8BJDRfUgRFdBi-_gB2bw
PC-NE,ChIJzyh5YAd6fkgRjBQ6cnD8ieU
DXP Solutions,ChIJo9DnOlAqfEgR3zclhOqjMU4
Opencast,ChIJi90I8pJwfkgRMplXgYjyotw
Inflo,ChIJX8E0qDxjfkgRC82FsUV7AVE
Wordnerds,ChIJV4Pv0b1wfkgR3skcWdhQy-A
Entwine Solutions,ChIJYfPDb2MpfEgRwnsDMP1NEaI
Excelpoint Limited,ChIJVTvfmRmDfkgRgZMte5rCJkM
Intel-I-Gent Solutions,ChIJ5S4Tqz_afUgRbiPZ-kmkFJo
Sage,ChIJq1VgIKF2fkgRMfU0Q9DCkFk
SourceGuardian Limited,ChIJ1WP-xZV4fkgRRszbC5Vk8W0
Design Insist,ChIJUX1Ob3d6fkgRnWwqW5b3jmA
Northeast PC Repair,ChIJC31rCLXTfUgRKZ-fLEn2DpI
Computer Centre,ChIJB0E9mPjTfUgRJFRl7xrEDgg
System Horizons Ltd,ChIJ3RVC3nfXfUgRvfQ5LG_NqC8
Smart IT Support - North East,ChIJd6citCN6fkgRcKEnPXmVNF4
QualSoft Software Consultants Ltd,ChIJGQCQMCIgfEgRr7a2ztIe-yc
DEF Software Ltd,ChIJVw46CWVlfkgRJkqCnhbaNJA
Trade Web Design,ChIJ7z7E3B3UfUgRu6GMUoEM9CY
We Are Kiku,ChIJ1xlfjz2ykqgR8-PxQ5KlLx8
Elm Marketing Solutions,ChIJMSuymkTRfUgRsz564d_HExU
IO Data,ChIJPUMbbd93fkgRiKcHnb2-A8w
Bede Gaming,ChIJP7DXCKZ2fkgR3W9Omog40DM
Ion Industries Ltd,ChIJFyI_Wct2fkgRYQYsPBTwQRo
Seven 360 Systems Limited,ChIJJeJ-kr1jfkgR1QaOwVktV3Y
The Nine Software Company Ltd (Nine Software),ChIJ3fnqA_9vfkgR0mg4Fc8rxgw
Blocs Website Builder,ChIJu00dWtZvfkgR2ao85S8giaU
Increase Computers,ChIJn0opwJZwfkgRLNMHaFZmMus
Bondgate IT Services Limited,ChIJv3np6RCafkgRWLYLCbNWTJI
MHT Technology,ChIJkXtAB3wgfEgRFL7KjQDHOfU
Computer Problem Solvers Limited,ChIJiZc0ykYqfEgRTO-IH8KOOv0
Advanced,ChIJITtADxx6fkgRiW_3_kP0mFc
DXD Group Ltd,ChIJJXo-z7vXfUgRd-hliU77hSM
Boarded,ChIJK2SfbEtrs4URsUI1LTva5SQ
Oak Engage,ChIJKReBDHd3fkgRLCETGwXs0gI
TC Systems IT Solutions,ChIJP86g5UYrfEgRwOii8QDu3s0
Cybit - Managed IT Support & Cyber Services Newcastle,ChIJbzcd58dwfkgRFtqLcmCoU_s
EV Smart (UK) Ltd,ChIJM8Wt3Th5fkgRO__E9kYufTU
Shout Digital,ChIJe5WOhN5wfkgRfP5anr65aFs
Notify Technology,ChIJw1fyD69vfkgR6tiJVoiDNXc
Cloud Data Service,ChIJXTjSfzV3fkgRVIAS7Zt2xdA
Thought,ChIJadE7CrZwfkgRO2Occn0dLVk
One Beyond Ltd,ChIJmYn-I7PUdUgR7IHZAHe7CgQ
Codification,ChIJ65tS4j5zfkgRK_MXaSwILag
IJNetworks Limited t/a IJNet,ChIJTTYF3kvGfUgR1HlGCn7df6I
OnTrac Ltd,ChIJrVPJsJVwfkgRzm2ERcBjgco
Presence Multimedia,ChIJp32Vm6t7fkgRI6u0XlfIQLk
Test Driven Solutions,ChIJiRZYVLhxfkgRjnlA8MG4vwQ
DH8PestControl,ChIJU7bb_xH4VSIRR0EWtWzUufU
OneMerge,ChIJF2y1tjxufkgRNRPG-ZE7pXA
Tr10.com,ChIJWbwrc1F3fkgRzs_Uhui3ZMg
Amtech Micro,ChIJBa5pSW3afUgRw3ZiNt51AqY
Transcendit - IT Support Newcastle Gateshead,ChIJbYut8yB6fkgRnpDRs9lCLh0
Mesma,ChIJQzhvk5x3fkgRrmhUS2mcF1A
The Holiday Tracker,ChIJmURgCGh3fkgRZKMwKX-E3eY
Vetworks,ChIJ___v0FHGfUgRwWc5xBlH5d0
Tradebox,ChIJi7b-TSJufkgRHQBjTeX0ITc
ZeroLight,ChIJFVL4t7lwfkgR0QAcXn_cERc
StreetAway,ChIJKRtg-tp3fkgRWKvHVWScvVs
Aspire Technology Solutions Ltd,ChIJ50RKM_5vfkgRbpK5MXSfloY
Partnerize,ChIJVw46CWVlfkgRSpNLqFdXV8I
Office HQ,ChIJq6pavbZwfkgRThwl10FPq8s
Haystack,ChIJr7Dp4NBxfkgRKFXBXLkxd_o
Aircards,ChIJkRv2B8x3fkgR-l3TCvA7PQw
Content Quality Ltd,ChIJk3C07HDQfUgRS4C8I_l65xY
OpenKit Ltd.,ChIJVxZw0KB9fkgRCefn22FzLG4
