name,place_id
M A Entertainment,ChIJcYrDDoTWO0IRnRT9unNk_Lk
Sovereign Entertainments,ChIJQye9_VVz30cRd0LYMJNmR_g
Lookalikes,ChIJj9TIdeNz30cRnX9F_0sJOoY
Warble Entertainment Agency,ChIJg-bHgPX1ekgRfB_mdim8D2I
Acting Moon Events,ChIJ3Txd7Ptz30cRX27c3kfgisI
Level Eleven Events & Entertainment,ChIJnTv6IQ5u30cRaWT7QamGH74
thebestof Eastbourne,ChIJt4UsZftz30cRm0mfWLsK_K4
East Sussex DJ's,ChIJE9_by1UR30cRvOAIbaZrQ3I
Cindy Thompson Entertainment Agency,ChIJn6GA1BeldUgRUmoyop5RJH0
@rhiannon3 at www.fansonly.com,ChIJ0WdywDJz30cRIMaFJrK9r4c
Ritchie Lee Entertainment The Party People,ChIJeUOLMyIQ30cRvyZBmt-0kLM
The Magical Experience,ChIJV24Zvjdx30cRV1XiOIGb_B8
Musical Nostalgia UK,ChIJVd7pb1bgdUgRa0_6kBw8f_c
My Mate Can,ChIJcUdMzE0JK4cRz4wL__dVMrM
Counting Stars,ChIJkTr7HJNz30cRjDeH-bav1nE
No name show productions,ChIJtfzeYo5930cRuu13gHskTeA
Seaford Little Theatre,ChIJWQrv5OR730cRJVyNEM_K74k
Entertainers Worldwide,ChIJNza4qYcddkgRQC9bJ99tizs
Mike Russ Entertainments (MRE) Group Ltd,ChIJaVvbwkUddkgRpUWYmyBY7Hw
The Entertainment Agency,ChIJeRwrKBAbdkgReQ1ww5TrOs8
Elpromotions Agency,ChIJnzYcnfK8cEgRBYapM2JpOJY
"The Supershakers, Wedding & Party Function Band for hire",ChIJ9ztUGFMddkgRRhm--5cCnAA
CS Entertainment,ChIJZRMHHgKw9UARJhSiaoD26Xg
Chosen Events Entertainment,ChIJU1XBcaYcdkgRw0YW5Egey80
Unlimited Promotions,ChIJMfvhjkFu30cRidRvfVzywwc
Joogleberry,ChIJffoz1UGFdUgR8z64SVKQmvI
Double Media,ChIJNZuV5XFr30cRms96QgEbWxg
RedLine DJs & Entertainment,ChIJjan4EdYcdkgR1rMKsG3zIhg
Bates & Co,ChIJqbDPlBNu30cR8NqxitekYPQ
GO2 ENTERTAINMENT,ChIJBzjPpKOHdUgRlC64y6g0bpQ
E3 Group,ChIJB0tYjUCFdUgRcYrV-YdMnEY
Entertainment Paparazzi,ChIJn3TDrlFzdkgRw82m5aYnWls
Comicus Ltd | Speakers Bureau & Comedy Agency,ChIJ4UNGQr2PdUgRI7d9PV7B7TM
E3 Events,ChIJBTsOQWKFdUgR8iM-XfYgmew
MCE Music,ChIJSRfCgoGFdUgRQKLHC7iEklo
Unity Talent DJs,ChIJG1sADEaFdUgRbV8N7G1Ox_U
Fresh Agents,ChIJu69poguFdUgRjIeM3tO_b58
Electric Cabaret Company,ChIJSb13zK-FdUgR386emKwif0M
Arcanic Events,ChIJS5PQyu8vn00RFyuWc3d0HSg
Sidewinder Management,ChIJc4iLa0OFdUgRdo_tZS_VoXE
The Eventa Entertainment Group Ltd,ChIJc6zpunSFdUgRFQF-ug7KDIg
Marta Rubio Agency,ChIJfYUha9iyJoQR3vo4B9e2MOw
Move Animation Studio,ChIJ7-TZacWFdUgRVTBZc-pmh_o
Fairy Dust Events,ChIJFU3Wf32PdUgRX_M9bwqcH48
Lulu's Black Market Events,ChIJCRTMkk1yd2ARrqnWDYhIQKg
Circus Brighton,ChIJb0doIJKFdUgRZP0N9sfGUNI
The Toot Suite,ChIJm5EWtFaFdUgRn7Lkso3ENqg
Model Talent UK,ChIJH0dMgkUoCY8RsyqB_anpCRk
Hart Entertainment,ChIJDcw9PRqadUgR_GkD2Zwk9jw
Songbird Entertainment LTD,ChIJOWOJ0YvHNK8Ra72bzQNrr-E
Limelight UK Events,ChIJqRdQgwmadUgRmiBM5pBYfTY
D&L Acoustic Duo,ChIJOxJ8VceFdUgRAkPZh40Tqw8
The Hen Fairy,ChIJgeTGqXiQdUgRDNJjAmX_XC4
The Madhatter's Tea Party Wedding Band / Function Band / Covers Band,ChIJk2gE7oeQdUgRPw65exMj7ds
PIRATE.COM - Rehearsal & Recording Studios,ChIJrdD1hLuFdUgR5gFnETffvd4
Nuevo Staffing Promotional Agency,ChIJuV_SpbGMdUgRnw6U7lIAnVY
Corporate Entertainment Company Limited,ChIJ2RANzjBn30cRTx628TKKVXY
Peach Entertainments,ChIJVWBELKfAdUgR0TMOSulTxms
Tulleys Entertainment Group,ChIJ4ZtXw7nt208R4dI5Z45EMi4
Elite Event Connections Ltd,ChIJewaSOviNdUgRPzs6YrgDsgw
Dainty Sue,ChIJmYvd-Db0dUgRvTA81Pz39Sw
XIX Entertainment,ChIJq6qqqnMFdkgR-ehg_AoqQlc
Gary Parkes Music Ltd,ChIJjUOzG_MadkgR8PW8H6Q4zKw
Champions Music & Entertainment,ChIJ5bvgUYEFdkgR2rOVLpdAN9o
Musicians Inc,ChIJobRKi7sFdkgRbGkLwY327F4
Music Artist Agency,ChIJG27E4lEFdkgRgAkBJFBScC8
1 2 One Entertainment (UK) Ltd,ChIJKdIF4TUbdkgReGaGFdRBFdU
Mass Movement Management,ChIJdc4cIakadkgRWecVcOZWoJo
We Are FMLY ltd,ChIJ36uW3z5ArKMROJxKdJbV20o
IN CROWD AGENCY,ChIJlYOW0G0CdkgRSc2MZC5_tPM
The Business Creative,ChIJb-o4KAuFdUgRAYxXhY1rjqk
Lout Promotions,ChIJxy8ijaCFdUgR1aQjOX5EG-Q
13 Artists,ChIJcZI2ZnWFdUgR27pjLKucTLg
Mack Entertainment Ltd,ChIJZX75DJnXdUgRPKTu6xChTQE
Juggletastic,ChIJjcVNRD6GdUgR8iwTp4vyyto
Elite Music Management,ChIJm22l5nSFdUgRf4df_WdO01Y
Entertainers Now,ChIJn9tFQE4b30cRZw-cpnKHEME
etx entertainment,ChIJ9W98kHoPdkgRo2GjKKfKiEA
MistryMusic Entertainment,ChIJydE5554bdkgRxMGlOJR3rGc
UK LIVE ENTERTAINMENT,ChIJB3kF118DdkgRW__5e6vX6bg
Contraband Entertainment,ChIJ_____-AbdkgRlz9aiSvUu24
Another Tongue,ChIJufN0tNQEdkgR2vpgwMpOgTk
Encore Musicians,ChIJxREt-KscdkgRSAQgSsFCpE4
AJK Dance Agency,ChIJY7ti6cwEdkgR9ggpMlrrHfQ
Mainstage Live,ChIJIbWQQ6gFdkgRhWV2E78uxcA
Core MGMT Ltd,ChIJf1XAqjMbdkgRSiaLvkAdppA
Prelude Entertainment,ChIJa-xIGFQbdkgR-9WHZcIz_do
Capital A List,ChIJMVBYFS8cdkgRzf-6UN1urNU
Sound Artist Management Ltd,ChIJaTGuXeIPdkgRqK5zbpJpBn4
Young Guns Group,ChIJB_QKyioFdkgRI6xBj7X7rkI
GetComedy,ChIJOzzetM4EdkgRxfvlCSpC0IU
First Recruitment Services,ChIJzWyHLLCMdUgRzzusuItLIJ0
Question One Ltd,ChIJl6FmynUPdkgRbAKZLPZfDo8
Baron Entertainment,ChIJSwDxqv4PdkgRfu1nqMl1Qgs
The Dench Arnold Agency,ChIJ0WwrPdUEdkgRr2l135popek
