name,place_id
Screwfix Honiton,ChIJ20z__1GFbUgRBUHHAfVuWL8
Toolstation Honiton,ChIJ80Jcf8CFbUgRN46Fe4jKt0E
MKM Building Supplies Honiton,ChIJA1kiClGFbUgRv7qV8zJRlI8
Jewson Honiton,ChIJl_itnVmFbUgRXkUfahg3fLI
Homebase - Honiton,ChIJb1nHqlGFbUgRD3-pCL81ozQ
Housewares Sidmouth Ltd,ChIJgTddNuOcbUgR4G10Xfdds3U
Total Plumbing Supplies Honiton,ChIJN3dMU1CFbUgRaLcTGZ2kvAI
Wolseley Plumb & Parts,ChIJXae9UViFbUgRuzGRhQj0hnA
Ilminster Home Hardware,ChIJ7STUYqJzckgR9ciD5rFqAxU
Exmoor Hardware,ChIJl8PgvEzLbUgRY9WIyQIAqqM
Howdens - Honiton,ChIJb1nHqlGFbUgR5uUcb18YnZE
Labdon Building Supplies,ChIJMccdPGqWbUgRwPWBuHtjaJg
Bradfords,ChIJJTQOLM2VbUgRfWwQeN7fgB8
Brook's Basics,ChIJJaH4UJumbUgRZFidAjIrArg
United Fixings Tiverton,ChIJXZFWG-m-bUgRVrUOwdAAHR8
McVeigh Parker Farm and Fencing Suppliers,ChIJMfTz-3aWbUgRAFDfl5D13z8
Mole Valley Farmers - Cullompton,ChIJvahQdV2WbUgRFLbqlTxftqI
H T Perry & Son & Granddaughter,ChIJvdOKTa_ybUgRpYdeMf2YSs8
Tesco Superstore,ChIJL_oXwkGWbUgR4Zk4I3gPX0o
Brookridge Timber Ltd,ChIJ4eviOZCNbUgRnQha5J_nXgk
RGB Building Supplies Tiverton,ChIJz7vpruq-bUgRW3_mHDMUZes
B&M Home Store with Garden Centre,ChIJZ1UuH1G-bUgRpOshNIvar9Y
Travis Perkins,ChIJoT632fO-bUgRGeFnqqdvvQg
City Plumbing,ChIJywEvAFG-bUgRgpQCMkkikvA
M P Supplies,ChIJhZnJCso0bEgRVdkNTNsvKL4
Poundstretcher,ChIJpb_PLOy-bUgROXX6ewYfEGQ
Plumbase Tiverton,ChIJA57H5FC-bUgR7viDkraArFc
Rotary Power Sweeping Ltd,ChIJN1taNVe-bUgRnZ3NOF9dM5s
Argos Tiverton,ChIJofVw3O2-bUgRuTVmHORXX0Y
