name,place_id
UK Power Networks,ChIJUQQSVzMbdkgRSPlydBM-Gp4
EDF,ChIJeS1w8CMFdkgR8ZU7P1_MF2c
Switchd,ChIJYVPJXf0RdkgR6sQF-e0ocFM
Grays Utility Solutions Ltd,ChIJt11a-MDN2EcRaVUSVOSaUbg
Green Hedge Energy UK,ChIJsWaQYisFdkgRLAZxtgI7WKI
SwiftSwitch,ChIJLS72TpkEdkgRAW0P68mR4yU
London Power,ChIJvddNxiobdkgR859neOWztnI
Keenan Electrical and Solar Ltd,ChIJoeCYgkcbdkgRhkxwsXpQV-U
House Rescue Electrical Ltd,ChIJq6oT9XUbdkgRKPsd2HwwvFI
ENGIE,ChIJK0Jb-bkCdkgRRaYwxf2gduY
Piclo,ChIJD5GivLscdkgRoNEmOsPjn0U
Lightsource bp,ChIJHVbFJVMbdkgRe9gDPw7sLZs
Winch Energy Limited,ChIJF67KEmgDdkgRJGrkfXSMlEc
UtilityKing,ChIJvSV7kQ8bdkgR1E3Z9p4UoPM
A&E Plumbing&Gas 24/7,ChIJO3IOP1cddkgR3f8RAvsHbQM
EDF Renewables UK,ChIJW0Te05YFdkgRAov0zmH-dLE
Arin Power Limited,ChIJr996IW1Tt0gRU7m3xf9mbpQ
National Energy,ChIJy_UQ2dQadkgRejPBqYDKkII
Ortus Energy,ChIJlce6080adkgRjYTMm35mYpk
Treadlighter Ltd,ChIJbzp401kPdkgRYw8Cj4PgVU8
"AIS Utilities - Utility Connections, Utility Installations",ChIJQe7uoowFdkgRI2GTtQDH0go
Green Power Home Services,ChIJC1iqm3gddkgRJKo3-GQfvw8
Statkraft UK Ltd,ChIJSf8pb6scdkgRNDQB39gC4Qo
Sunsave,ChIJ9Rzx76h3-EcRaW2PppTtYhI
Axpo UK Limited,ChIJq7gSZLwDdkgRA8KCvIT_SmA
RCD Electrical LTD,ChIJrWlvMiAmS4cRzcD3iubY1g0
Major Energy Users' Council,ChIJA0AwU0wDdkgRjnhLDxDQ7U8
Soleco Energy,ChIJG7iABScFdkgR3Td1V0nZ_5o
ELECTRICAL4LESS LTD,ChIJlcY5xUEPdkgRTNYwIp1NPEQ
City Electrical Factors Ltd (CEF),ChIJo0LQ_1Dw2EcREFZuWNEK1wQ
Edmundson Electrical,ChIJU2fRu_4zcEERnuzZ0HiPtyQ
Arc Power Ltd,ChIJzSCJJUUDdkgR7F-GYD14orU
Arrow Electrical,ChIJkedgrrEadkgRTk8J0lUiI_o
E24 UK,ChIJAemL2boddkgRVuvl9a6k_LE
HeadTorch UK,ChIJF0zwoRsQdkgRDB_Dov5o6kY
Island Green Power UK Ltd,ChIJ5-6N0soadkgRYdffwc8qFEI
SUEZ recycling and recovery UK,ChIJQWT1TO0PdkgR4r7I_aukVXU
JF Electrical/Mechanical Services LTD,ChIJI8xU6rgbdkgRaziPQQBFHSI
With Energy,ChIJJ18OhzQbdkgR_m9VUHChqsU
John Lewis & Partners,ChIJI6IWjywbdkgRZCa6K6ZF4UI
Elgin Energy,ChIJXWBmhDIFdkgRsXAlJiJQcNQ
WB Power Services Ltd London,ChIJRQDWgDYDdkgRIALsa4W6TEs
Urban Design and Build Ltd North West London | Loft Conversion | House Extensions | Solar Panel Installation,ChIJ49MJFV0NHUkREPunuEEtKTc
SunPower Industries,ChIJd8iBZiEFdkgRCdVEd_9FRWk
Ethical Power,ChIJh446jlcFdkgR54Vds-aWvq8
Western Riverside Waste Authority Recycling Facility,ChIJu5aA0nwPdkgR5kfgasLWTQM
Green Energy Plus,ChIJm16BI56RcEgR5nJViLmSmvw
OVO Energy,ChIJHRJl8fsPdkgRRXRBotybOfw
ABL Group - Marine Engineers & Consultants - London,ChIJMcvdm0sDdkgRHdgYmEIQ16E
123 Brackets,ChIJcQ3aQ_oadkgRzTJlQwAEcKY
Cwc Removals,ChIJwc_k7Aip2EcR5qt8BodsbNM
Otovo UK,ChIJT9VXa5B1c24RoUGlidQyq70
Solarcycle UK,ChIJkftIgLXHvA8R_uIziIoICA8
XIX Logistics Ltd,ChIJFzVnt4kbdkgRrbRP7i2uPiI
EEW RENEWABLES LTD,ChIJB2KjhzgFdkgRqAHEhSusJ5U
BDS Drainage,ChIJmypwBiqw2EcR7n_bPuD_Zvw
Solar Together,ChIJZbrIePICdkgR7ZYVzASQ7us
UK Waste Consultancy,ChIJje1Qc9UadkgRCiFL4hYJRg0
Sunray Solar UK,ChIJFxid0_oddkgRW3lx9b9duPA
Solar Advisory Service,ChIJnzTvI3QFdkgRUYu1glbJ1CQ
International Removals & Shipping,ChIJgY1ckUMDdkgRqHBzLfLsTd0
Soventix UK,ChIJfybsGEwDdkgRdZe7QytbM90
ENNOVIGA SOLAR LTD,ChIJRbz7ojYbdkgRO2wtTtOCUgQ
East Finchley Electrical Contractors Ltd,ChIJQy8whxgadkgRdbcxcVwQ_ys
Anytime Plumber,ChIJUd5ePvyYcQ4Rim8D-9bqz-U
MakeMyHouseGreen,ChIJQYy1nfLBhWkRvM2xwlmeFEw
ThermoFoam London,ChIJc89ceSwFdkgRzn6IusFS4n8
Rapid Removal Group Ltd,ChIJB-CvOncFdkgRhQ9S-KB7dAg
FiXT,ChIJAeQ5N9wFdkgR1oQ52oke7G0
City Waste Clearance LTD,ChIJwwQkUOcFdkgRzryhrn8REzs
Recorra,ChIJx-pHEqcEdkgRY2QrcHTG7Pg
DEON Energy Ltd,ChIJCbZx-igbdkgRVBMBanob6S8
Abbey Power Generation Ltd,ChIJFT-R-NYadkgR3dZ9k9Vr3no
Cory Environmental Ltd,ChIJ9bdieP0EdkgRlSgaD6Igfyc
Matthew Finn - Utility Warehouse,ChIJCSxkQo3EE2QRg62Ly8e0eT4
Forefront Utilities,ChIJ_Xb2RGe52EcRuHPXScxY6Kw
Smart Power,ChIJqfovq8wEdkgRG7hk5qUZlLM
Elgin Energy,ChIJ-aGBgzIFdkgRWmnEC-V1TNI
Allume Energy UK,ChIJK2pd2fQiraMRxm91WOHQAhg
A.P.M Electrical Merchant & Wholesaler,ChIJ-aeEz7obdkgRXzq5f4m1Lts
Solivus,ChIJq6qudw3idUgRBv8V-nnokik
Exagen Group,ChIJg9LdwrMFdkgRFDKrHo8Fork
Robert Dyas Tottenham Court Road,ChIJuZCm9igbdkgRAVOSCMt9sUM
CoGen Limited,ChIJqyVW1uUFdkgRjLOFomTEC38
Water UK,ChIJl7CzCtsEdkgRfEGMr3ZtO20
Renewable Energy Agency,ChIJq6qq1ysFdkgReGSLRJnzFAA
Solar Americas Capital Limited,ChIJR6DhwvUFdkgRD8b5m6qXcC8
EasyClear,ChIJBSpHyHoFdkgRYrGRj1ss6rM
Clean Energy Cap Ltd,ChIJ9YTJbLcadkgR-BhNDX0jBok
Screwfix Bayswater,ChIJ___GYlUFdkgRXVWB4eBj-8g
EVoke Energy Solutions,ChIJp6jzXtYadkgRlIY-4tKrKkY
