name,place_id
Consol Tanning Studio,ChIJLSrWeUsWa0gRdFrJg3ZZqMU
Golden Tanning Studio,ChIJxz0HuV53a0gRXZ2rQgceRFo
Sunkissed Spray tans,ChIJhXNiDicOa0gRreUKgFhidjo
Bryluen Beauty,ChIJyXXTWg4fa0gRvanq6vByvZ8
Executive Tanning Studio,ChIJw5vBU2mDbEgRRAIms9j5Aak
Fades & Waves,ChIJg70yUp0Za0gRGYMaI44ncXw
Solis Studio,ChIJxceTdZwZa0gRdnml6uWzoYw
"Beautique Penzance- Nails, Beauty and Make-up Salon",ChIJsXeS9VbFakgRPbvLxQQzUCU
Paraiso Tanning Ltd.,ChIJTx09NFaVeUgRgo-zzUNsoo8
Second Glance Beauty Aesthetics & Tanning,ChIJ_fkoDVIfa0gRowqzc6mLhEM
Fuzion Hair & Beauty,ChIJA26JAc5ua0gRMhg3G3-UgMY
The Beauty Spot,ChIJ134_lL12a0gRT7fFrIzwdJg
Beauty by Tracy beautician and body piercing,ChIJe_oXoKMba0gRaCkv5IRVxKo
iBeauty,ChIJjc9d7xYba0gRuqnhxQevrvE
Bronzed Angel - Tanning Salon - Market Harborough,ChIJ5YIUawRxd0gRzkFYf1tiyDQ
Blush Bude,ChIJ9UbhYLN2bEgRHSiQ8qWUpFY
Beach House Tanning Ltd,ChIJlbg_cy1E30cRSR-2u38JMgs
Beautique UK,ChIJGw3evggOa0gRgpuxVHhzwGY
Top 2 Toe Day Spa,ChIJ5Ya3bhYOa0gRNOoen2q9LkM
Cornish Beauty Rooms,ChIJS_mgOfLdakgR7qbxOLLoXfg
Beauty Boutique,ChIJJST4AjIOa0gRz6Yj1qPwWTM
Goddess by Nature Uk,ChIJD8Jf5TIPa0gRR9wb_XZBAb8
Glo House Of Aesthetics,ChIJ98BOGZcPa0gRzM79hMFEAoY
Secret Beauty Cornwall,ChIJIWHdyS4Pa0gRKxqsnvAgczQ
Nails & Beauty by Amanda Avery,ChIJ2TU31jYPa0gR4ZfnyQwlQ-s
Clarissa Nails Newquay,ChIJfchgSs0Pa0gRBWseSg1uMvA
Allure Visage (Semi-Permanent Makeup),ChIJ8RTfdM0Pa0gRuUtuzDVhVjw
Maximum Wax,ChIJeUCsYdlYeUgRE42jTyY1-Y8
Susan Starkey Nails & Beauty,ChIJ2X_yxCYOa0gRG8mZ78j9XXo
Fraser's Hair Studio + Nail Bar,ChIJw9Hze2sPa0gRn3kCaaXCx7M
Skin Radiance,ChIJ_ew5xOfleUgRkVO4F7EAAus
Captivating Beauty,ChIJoyrUSBIOa0gR6Z71SADd_e0
Jodie Young Colour Bar & Salon,ChIJRRkhPjYPa0gR8UYO5_CLp7Y
