name,place_id
Beauty @ SoLo,ChIJ6THV8CUafUgR_wSHpuCLdrk
Elysee Salon,ChIJTd5LEyYafUgRmQDNCcUfWrk
Cirrus Beauty Rooms,ChIJuy2PnY8ZfUgROG7Ctniines
Chloë’s Beauty,ChIJM8RtiS8afUgRjqU0PR9lOD4
Uglee Betties,ChIJrdtG_ykafUgRObkHt6o-qso
Samantha Ward Aesthetics,ChIJgTTEVSYafUgRZzf1Vbut-Qs
The Loft Beauty Rooms,ChIJf200--cYfUgRTECaAIp3Sng
Changes (Carlisle Ltd),ChIJSWiNhy8afUgRPrW3QRD8aTg
Carlisle Wedding Hair,ChIJOZlrXi8afUgRVpz-zodwvlA
Belle Âme Beauty Lounge,ChIJJeABxysbfUgRVk6gzHhTihQ
Talking Heads,ChIJ33ts-zEafUgRQFtdmuZmL6k
Pazazz,ChIJP38M3S8afUgRlZ8rpnZRR8E
The Bannatyne Spa,ChIJv6kxKgMafUgRLjVxFkGyoTI
Brockles Hair & Beauty Salon,ChIJC45jMID7fEgRRl3kwtgFnaw
MW aesthetics,ChIJM4r1J-rlQqkRJ3qWccBlR5E
Lake District Pamper Company,ChIJ7XKyuPP5fEgRUo8ofDRM2Tk
Bliss Beauty Studio,ChIJh5ki3X_7fEgRKKHGfakc2Tw
Olive Tree Wellness,ChIJ6-BDBoz7fEgR6HmQ42Q-6To
Hidden Beauty,ChIJL6ImIvDqfEgRewC57y2wuUU
Salon Rouge,ChIJ8cTQoX_7fEgR3t7zGGxkCIg
Eden Beauty Rooms,ChIJRVJBgZikfEgRks6u7i1NhNI
Five Senses Hideaway,ChIJKbni9ysZfUgRVCMeSelFgUc
The Green Rooms,ChIJvdiHQOiNfEgRe8HBjQrqiVo
Lakes Beauty & Nails,ChIJ4_f1humUfEgRS5Zt2sUL-uo
The Lake District Microblading and Skincare Clinic,ChIJJaGsD6z7fEgRN-F8Hv9x5iU
Aqua Sana Spa Lake District,ChIJjWya3Q35fEgRJTHIPdWzpiA
Pure Essence Beauty Salon & Spa,ChIJnSZMjK6EfEgR49M_beLUZkc
The Spa & Treatments at North Lakes Hotel,ChIJJ_UHDXr7fEgRybWd6PZtffY
Kennedy Bridal Make-up,ChIJw1SmD_v7fEgRXh5j2seUe_w
Botanic Beauty Rooms,ChIJC6k-GxtZfEgRP1e95CfVkdg
Lakeland Beauty Salon,ChIJ3RlGWsKNfEgRLS4A4DyfnSw
"J'adore Beautique Beauty Salon, Make Up Artist, Microblading",ChIJFQHgC48ZfUgRzItORTUvlp0
The Hair & Beauty Studio,ChIJvzN_4-iNfEgRqhCHj5AhUHY
Cloud9 Beauty Rooms,ChIJZyal4JikfEgRQx2e5IM75bQ
Daniel Gray Hair & Beauty,ChIJoeBz-sKNfEgRAAb62fefa94
VL Aesthetics,ChIJBYR0t_EZfUgRwbggj9cndo8
Julia Curwin-Bennett Massage and Facials,ChIJHdZzRMDRgywRaviwsDgy4Z0
bellissimo beauty,ChIJJxpum8KNfEgRBKWqP8ihThQ
Bowness Beauty,ChIJS3xX8-2UfEgR5Q-OLIz8yNw
The Rooftop Retreat,ChIJ3Y6KdY8ZfUgRGbvLaH_Nsyw
Victoria Anne Beauty,ChIJ2zmOMHSHfEgRZonlgFBqSY4
Vanilla Beauty,ChIJ0QuLVLeZfEgRoz8tnuDtGVU
LW Beauty Cumbria,ChIJXw5E5umvfEgRmWYMXYxCUNc
Gilded Dreams,ChIJQXAeOrucfEgRNo0ZahmysOA
Visage Therapy Centre,ChIJvT_NlhzUfEgRkSvYZv2JPRk
The Skin Genie Clinic,ChIJzaINuaAbfUgRkqjXxBQ5EeA
TopBod Therapies,ChIJqe6AxSobfUgRIjjUIilMoZ4
The Retreat at Red Barn,ChIJjzOTNtrjfEgR2-7qvl7-fUc
Beauty By The Lake,ChIJgQkZri-_fEgRC0nhso0k_XU
DreamsDay Spa,ChIJSyZnJQAafUgR-6Fj_z0O6Ec
Sands Sunbeds,ChIJ12N7lX_7fEgRZ-YvdZ4LlGg
The Lane Hair & Beauty,ChIJmYJTweeNfEgRQlq3eeNiPEk
Frothimoon Beauty,ChIJodTayueNfEgRSTRF3aT_7iA
Sapphire's Boutique - Nail and Beauty,ChIJi5SE83mNfEgRh-J79YBTHWQ
The Haven,ChIJaQtMtE8PfUgRkSFYE3rLjoY
Solo Beauty,ChIJRxRHO3YsY0gRn6rP8t7gH5g
Kim Salon Nail & Beauty,ChIJHfRVXGmVfEgRXRxzUfgxa4k
Waterfall Health Spa,ChIJBRWB4e_qfEgRnQyanl96v2A
Boots,ChIJ06eRnX_7fEgRoWaiNp3i0qA
Prestige Health and Beauty ltd,ChIJRfdYzHKefEgRdyP_m4VSptI
Brazuca 1 Gentry Grooming,ChIJq6qqqh8afUgRqs7zgZT2LRs
The Hair Lounge & Beauty Room,ChIJQYI7l72UfEgRRrupFUWDGzY
Ghyllmount Dental,ChIJbTlijHr7fEgRxCu-kIQKRCs
Couture Hairdressing,ChIJLRh0vX_7fEgRAxCPBo1Qp-A
Grace and Glow Beauty,ChIJf8osHPj9fEgRbbMDHqEegII
Face To Face Beauty Spa,ChIJqTyO1HUsY0gRUojY2ioZtD8
Hailo Beauty,ChIJ8-VMHGPbfEgRUOU3KQpnF34
Olive Tree Beauty,ChIJFaEwBh3UfEgRBFYi6IW85GU
Bloom Beauty & Wellness,ChIJPSMtSPwtY0gRcTZ7NJ0bJrE
Shannon's Aesthetics & SPMU,ChIJv6NxWzn7fEgRMtLLsS3yz-Y
The Brow Tech,ChIJNUXWEIIbfUgRLc_4o5p-avI
Tantalize beauty,ChIJDW1vd5cZfUgRvNn8wbSp8PY
Lofters Hair Design,ChIJf19s3AcgfUgRg_IAAjSrG1A
Bella Vita beauty & skin clinic,ChIJHxx7OuUxY0gR6nKjdpo2V9U
obe Hair Studio,ChIJhzTEVSYafUgRZCklbBgigKg
Salon Vibe,ChIJyXwH3fIZfUgR5C9cJ7OoCy4
Jude Kelly Hair & Makeup Artist,ChIJX0h6U3EZfUgRPcrml-EvIEk
Foxghyll Calm & Beauty,ChIJW1urXsIpQAERBPM5B-NN_HY
Benefit Cosmetics Beauty Counter,ChIJZ2S0Vy8afUgRR7mgPVjdRGo
be radiant,ChIJdy3GFGc5DGARV1nIaP-vmJ8
AMETHYST | Beauty | Wellness | Relaxation,ChIJ9QEZbAbUfEgRngh4NVB8hOs
Samantha Jayne Hair,ChIJBbdoOh3UfEgR2VWUorNHAfk
Pure Touch,ChIJRQqoAx3UfEgRly5KjEeWiio
Halo Beauty & Co,ChIJBbdoOh3UfEgRL011_0cuW8Q
CNB Hair & Beauty,ChIJsayEem29IS4RS8h5_LSPIVI
Absolute Beauty Centre,ChIJ51FB6uQxY0gR_9CIemyxT9M
The Tanning Place Cockermouth,ChIJwWV7BR3UfEgRLl_ItGXO-28
The Beauty Spot,ChIJY63kjeQxY0gRVAWrHrok__E
NV Beauty Lounge & Makeup Studio,ChIJISDT4uQxY0gRNfJ4RzTO26w
Lakeland Wellbeing,ChIJ5Z90b-3bfEgRy4kG3H6zGYU
Love the Lakes Keswick,ChIJEarHGWPbfEgRsZxEmfhezw4
Packhorse Court,ChIJrWhDJGPbfEgRUCZE0vS89Jc
The Brow and Skin Studio,ChIJFWgjPRjVfEgRelUuCwzXhxY
Calisa,ChIJdai7-hfVfEgRIcU7Iyzcpao
Vivid Beauty,ChIJbbDd8m8rY0gRGLRAJTZxVOI
Spectrum Hair Boutique,ChIJSYJbgiIzY0gRfq9pasjiCMI
The High Brow Beauty Bar,ChIJa6r3uMsrY0gREz1Q-xxFpH0
M Nails & Spa,ChIJ65SyuXcsY0gRZuPSpZQYBjM
Trilogy Beauty,ChIJf_Y4UnQrY0gR-tJqOedGkZM
Polly's Parlour,ChIJq6pm6eQxY0gRoYAV1qSeEio
Waves Skin Therapy,ChIJnZzYBGMxY0gRdzZil2LSKs4
QwinnT'Sentiel Beauty,ChIJBXS8q9YxY0gRaYi84IDLBv8
Bespoke Beauty,ChIJmYO5u-UxY0gR-hGYhD3jsVc
The Tree of Life,ChIJwwVW4awmfUgR5QWWo32ORbk
Redefine Medical Limited,ChIJh01IKHgsY0gRTEdPxtPNJ1Y
Kwik Tan: Workington,ChIJ3ekfTXYsY0gRBbD_mbNPZ_k
LK Nails - Workington,ChIJE1Ie8nItY0gRbUwPHgloZy8
Essence Cumbria Aesthetics,ChIJ45G_zyHVfEgRgYMFLhYudK4
Yasmin Chloe Hair Design,ChIJfXOtJrgqY0gRu9mHNjm64l8
Curzon Street Dental Practice,ChIJdXv3H7gqY0gRIFeiYSyJLAA
Handmade By You,ChIJOxbUDrgqY0gR3A1pgoiY7fM
Enhance Hair & Beauty Salon,ChIJMwpSyTRDfEgRxPivqax2oBM
Park Lane Cartmel,ChIJYVXnWWuYfEgRTH9kDEWaUB4
The nail nook.seascale,ChIJyf3udjo1Y0gR9N7GWvnmZWI
Mill Place Holistic Wellbeing,ChIJQVxhGefLfEgRHEd20Anmd8k
"Boot Inn, Eskdale Valley",ChIJ4zFArC3IfEgRlHEf3QIXivs
Swain Hairdressing,ChIJV8U5teUxY0gRSZzOgTNGxCI
The Sawmill Cafe & Farm Shop,ChIJq5D5aODLfEgRjyW-cjmUF3Y
YHA Eskdale,ChIJN27USSnIfEgRZP3QYj4PuYA
Hair Supplies,ChIJx2hsmOQxY0gRLLu-Ud-duQo
Eskdale National Trust Campsite,ChIJo94vey7IfEgRAXJoHDicarM
The Original Factory Shop (Egremont),ChIJMa9NlZIzY0gRyWgp_D53RXQ
Violet White Salon,ChIJs6Q_HScafUgRY-ybOyO7OAA
Rebecca J Hair,ChIJiaywkhYbfUgROpx-h0uLSXw
Claire Woodmass Bridal Hair,ChIJ37wXvqkbfUgRLEzgpjijM8k
E.S Hairdressing,ChIJMym0qScafUgRrseJmVI7jK4
Becker Beauty,ChIJb6WaFEYafUgRb11rnLCUpDU
Sally Beauty,ChIJtWrW-P0ZfUgRf7Clp2qxEaM
ATELIER HAIR COUTURE,ChIJHxCPgC8afUgRyadxfrrIoFs
Clarins Skin Spa,ChIJVVVV0CUafUgRjcud4iUxwA8
The vintage beauty room,ChIJ62-nXRAxY0gRUBvxCydU1UE
Mindful Alchemy Holistic Massage,ChIJf5nxmIc1Y0gRNszhhfbGJ8A
Hartleys Ice Cream,ChIJaaxlF44zY0gRcV_cq745PwM
Co-op Food - Egremont - Main Street,ChIJFYARA5IzY0gRMPg0Mm4mgvg
Together We CIC- Egremont Centre,ChIJz-utOQ4sY0gRwrNwf4_eS2Y
Cohens Chemist,ChIJ62URCZIzY0gR_DDUB9wqrDk
Etched by Briony,ChIJq1RGt28xY0gRRkp4m7_7ep0
DB Skin/Therapy,ChIJe-UQlXAxY0gRQoJKSpq49M8
Abbie Farish Beauty Therapy,ChIJ0-m5Q5UzY0gRbSka8ivlyv0
The Salon,ChIJKzIEipikfEgR624HpToDGj0
Healing Sounds,ChIJH0SgpkMtY0gRj_2ivksBkIA
"The Manor Inn, St Bees",ChIJVdnHlmoxY0gR840gSoHY9Xs
"St Bees Priory, Church",ChIJg6pj5hQxY0gR5eXF_TfHxWk
Parton Beach,ChIJq6qqagkuY0gRbT48hlBJGhY
Bodycare,ChIJV8AIreUxY0gRXorxrUjGfwk
Holistic Beauty Lounge & Academy,ChIJB-U4yzgRfUgRQbZyUujT4fs
Headways Unisex Hair Studio,ChIJj_N6Nx8afUgRe71OUJtMcgw
Opal Lounge,ChIJ4diNxiYafUgR07lf5t1GAWU
The Fragrance Shop,ChIJRUbSLSQafUgR4mPE6F1diLE
Immortal Art Studio,ChIJyY-BBicafUgRjCVC-kB657Q
Capital Hair & Beauty,ChIJARVUEv4ZfUgR85MFx0zw_SI
The Perfume Shop Carlisle,ChIJsWnhzSUafUgRjAGd61j-jHA
J.Davies Bridal Boutique,ChIJKyEzxUMbfUgRNYi3WNPR8ns
Eden hair room,ChIJs0IMZEkbfUgRJHJUKyS4OvM
Hands and Heart Chiropractic,ChIJ3XuKLyUbfUgRreAP3nHvLxI
King's Hair Studio,ChIJibI0AiwZfUgRL4UR2WyfO6w
The Secret Garden Spa,ChIJBTXhmv4mfUgRU3PXXALWqas
Flower Nails,ChIJD0ymAPY9fUgRghb6ueNfH5c
True You Salon,ChIJSdbVPRwWfUgRhtcu4qG06HA
Chloe at La Belle,ChIJ5wEoT59rfUgRx_qEzVM2KS4
Hair Bonito,ChIJAbGt5qwmfUgRjxwJ2zojfBU
Time Health & Beauty,ChIJx2sWHvglfUgRsp-T6lKfl7I
Salon Twenty Five,ChIJmzUVArClfUgRPCgqhM04I0A
Daisy Hair and Beauty,ChIJa2ERMTl-fEgRg7KvicU5dVQ
