name,place_id
The Watership Down Inn,ChIJ8QBPLUgbdEgR5AOg-AF5f8c
White Hart Hotel,ChIJibvYdsEEdEgRLtZehaB_WFU
Kings Arms,ChIJtRQc3-kEdEgRmkJxLYNUeFU
Blue Ginger,ChIJaXmbkcEEdEgRrg7ecL9QtQA
Waterwitch,ChIJDaQmXFMvdEgRCDZoWPx4IWQ
The Red Lion,ChIJ-Qi8yvgldEgRFkXEcm46ewA
Old White Hart,ChIJ-99AgFwmdEgR6QSQ-YhVZJA
The Queens Head Dogmersfield,ChIJC6AirjApdEgRcT9DxD6oGLY
The Barley Mow Winchfield,ChIJB3fB-CEpdEgRgTw1YwuqPQg
The Derby Inn,ChIJR1qVRQ4mdEgRBZknDgKImy8
Hogget Hook Basingstoke,ChIJB7eXfGYmdEgRdQa5Xk1DCPA
The Poacher Inn,ChIJgxrQRqEldEgRxyXd0flQOvE
El Castello Odiham,ChIJ1-WVtfgldEgRcy1uYqtYpgQ
Bel & The Dragon - Odiham,ChIJX09rs_gldEgRIqytvGeW4Bc
The Mill House,ChIJQ4XMVvQidEgR2_DJMEnEdQI
Southern Bar Services,ChIJZTMJj5wmdEgRpSmFPTm6V84
The Sesh Bars,ChIJ-xi2q_OfdkgR-9dqk07fO14
Royal Exchange,ChIJdRtydoEhdEgRj79V4k7wsFs
Butt Inn,ChIJw8TZiaahdkgRM3u8iyAgGP0
The Spring Inn,ChIJT4H8iTOfdkgR9EYt8IBBy2g
The Calleva Arms,ChIJ8TTdfsOfdkgRcWb40xstu9E
Plush Lounge Bar,ChIJfdWm4YMhdEgRD_LcL0t9CFs
The Six Bells,ChIJmZJyRo2hdkgRIznDOjFjQE8
Gabardine Bar,ChIJ4U5WJ1MhdEgRZ4g5CM8tfRI
The Bull,ChIJkdtn7TqZdkgRUBNm7LtsDdQ
The Old Boot Inn - 18th Century family pub nestled in the beautiful Berkshire countryside,ChIJnzPXfDCidkgRurcfefK2JX8
The Queen's Head,ChIJeddsZgSidkgRLr5q06FSd68
The Hanger Free House,ChIJ3cZaBcsxdEgRlNF-PMBTBwY
The Horse and Groom,ChIJZbKtqWeedkgRrjVQJmtd-6M
The Crown At Theale,ChIJzTaLXi-ZdkgRxsdeukf6OOo
Victoria Arms,ChIJwxstsF2edkgRQ4cVtd-JBa4
The Red Lion,ChIJU9zaF7KfdkgRomOG3rsK-UI
The Volunteer,ChIJzTaLXi-ZdkgRQgXeucjywbg
"Holiday Inn Reading - West, an IHG Hotel",ChIJO74hPk-fdkgRpK4G66Imnfs
Medbar Southampton,ChIJ1zItwsp2dEgRZVT5BUp4eeE
One Oxford - VIP Cocktail & Champagne Lounge,ChIJkWguCDt3dEgROCQQEpQzQW4
Boom Battle Bar Southampton,ChIJW0PB6UB3dEgRlGhfKAfxt84
Rita's Cocktail Bar,ChIJ2bpWfMR3dEgRNF3a-13PDNE
TOKYO BAR,ChIJH1H9ZK52dEgRF7fLCCvef9k
Revolution Southampton,ChIJqVIcVq52dEgRxK7_Z0MNwAk
