name,place_id
Walkers Funeral Directors,ChIJlRVmbIUZfUgRIPf2tjifC_Y
George Hudson & Sons,ChIJ3xC845oZfUgR2C4DTIytqng
"Co-op Funeralcare, Carlisle",ChIJ7YDBp7qlfUgRBNSHRkBmpzM
Jill Glencross Independent Funeral Director,ChIJ0Trgd24ZfUgRiiZepprG_ug
Adams Read & Hocking Funeral Directors Ltd,ChIJ7ZZF_f4yY0gRsCP01ed4Kbo
Eaves Funeral Service,ChIJwxfXieoxY0gRu96O7gEb1qg
Dawn Evans Funeral Director,ChIJCZTblKUbfUgRsauydA4hkuA
Little and Caine Ltd,ChIJW1-4ItuofEgRe7e-5UeIAPA
Ian Blair Undertaker,ChIJuaYWs1gPfUgRqyTNDg_qVS8
Sheldon Funeral Services Ltd,ChIJd1aU2SWufEgRZOrebQmEIgc
Green F & W Ltd,ChIJDw6wgZ3cfEgR9LlP201Yisw
Jones Glyn,ChIJA1LMD-FZfEgRa0KW9Ff1D6o
JJ Martin Funerals.,ChIJde52y4thfEgRfYOSotVAzNg
Saunders & Son Funeral Directors,ChIJBw2cEqOZfEgRRV0uHRAKVR8
F Irving & Sons,ChIJFaRUi5MyY0gRzdaSoK8ybkU
D C Studholme,ChIJL_4Ut6wmfUgRmY1PVPFoSj8
J Hill & Sons,ChIJrUQRg6wmfUgRAuvt1lvmMf0
Hobans Funeral Service with Andrew Richardson,ChIJaUXQLIYtY0gRO-8isYLRE_k
Alan W Johnston,ChIJPZ7jCbgqY0gRQ22GWbYXzks
Fishwicks,ChIJRy4TzMmafEgRzZFUNxMugvo
Fawcett Alan M,ChIJJZmo37CcfEgR7qJTHE84oSw
J N Wilson,ChIJX9zw6qacfEgRajdM3ZmSu7s
Edward Duckett & Son,ChIJ5f4qNz6FfEgRE-XG-vKWi5c
Nicholson Funeral Directors,ChIJjayS-6YWfUgRmyMcmaHx9gs
A G Clarke Funeral Director,ChIJQXyYCd2WfEgRtNTlzbQTBMQ
Carlisle Crematorium,ChIJqzHec4IZfUgRA1flM0t64oM
Brigham Cemetery,ChIJ52fpDHPVfEgRk9HkN1-s_7Y
M W Shepherd - Carriage Masters,ChIJSR9cQqSZfEgRo4sK_PKuxiA
John Blenkiron & Sons Funeral Directors,ChIJG7jIMSs7fEgRKrWr19N7o3g
B & W Funerals,ChIJ-Tb07CV8fEgREIx6un2HRK0
Lowther Funeral Services Ltd,ChIJQ8tj70nYfUgR1L2XmQ53xlE
J Dickinson SC,ChIJu5r9HPTAfUgRCXWNMMsPQdw
Bare & Torrisholme,ChIJK_r_c8OdfEgREnOQFDBghCc
E Peart Funeral Director,ChIJJ-tRF8vZfUgR8V5TvUddjz0
Kaber Chapel,ChIJ745g7WJDfEgRPdpel80Ieuc
W S Harrison Funeral Directors,ChIJC_GiVlrffUgRX4vgKrjXDV8
Sanderson & Co,ChIJC89ytJUbfEgRj1maMXCElB0
Derwentside Funeral Service,ChIJGYO32gnWfUgR093FcjYrcPE
All Seasons Independent Funeral Directors,ChIJf_4cZ8B3fkgRCtsSsUey-zE
Simon Barningham Funeral Directors,ChIJTQlAKZkXfEgRlYM5AKTNzT0
Final Journey Funeral Directors,ChIJK5gwS9cbfUgR0aMNJaR1Mh4
Duncan Robinson Funeral Services,ChIJ63-GMdx3fEgRYynXoQyVx1w
Kirkby Stephen Cemetery,ChIJQUJVMqJdfEgRuB28B23hHoM
The Association of Private Pet Cemeteries and Crematoria,ChIJmagb4H8DfUgR5ibKtsL9M7o
Lee & Holmes Funeral Directors,ChIJU-LQHbwAfEgRSFMpRlOmZPk
Mountsett Crematorium,ChIJP5lWUz7WfUgRT9mauqtLyS0
Clodhopper Blooms,ChIJp2LcNDBdfEgRihkjzqX2nA4
Arnold Funeral Service,ChIJ3YldSk9vdkgRyM5CB7F7APk
Hambleton Crematorium Maple Park,ChIJG2epNQ-5fkgRB8DKyRZ6JhE
Gooding Funeral Services,ChIJxctDbfRbeUgRWk4nZkoRO3I
Simplicity Cremations in Lancaster,ChIJK215tEudfEgRuyMgzu-XzJ8
The Alex Willis Funeral Home,ChIJveRdr9Fhe0gRylz-xcu1oMs
David Cowburn Funerals,ChIJpcf04FoNe0gRY_LFwloaXjk
Bolton's Funerals,ChIJMex3WyoPe0gRGAmM6ObMdWU
R Banks & Son (Funerals) Ltd Monumental Masons,ChIJVchVMPgPe0gR4stI_XtrtMM
Leigh Independent Funeral Service,ChIJi76rO5cHe0gR87IOkFtq2-Y
Garstang Funeral Home - Greg Hodgkinson Independent Funeral Director,ChIJP521L9Ble0gRk50Z78YbeFI
Neal Buckley Funeral Services,ChIJJbX764Fye0gR8fBKtw-GWyU
Barringtons Independent Funeral Services,ChIJexnYUmIke0gRMooq4G668SU
William Houghton Funeral Directors,ChIJB8jPwQZye0gR1ki1PHQ-XIk
Moons Funeral Service Preesall,ChIJjfcPY5xde0gRL5A6dOw5H4o
NEAL BUCKLEY,ChIJcVvuppYUe0gRxgJnGtlM-Bk
Carl Kenyons Funeral Directors | Meridian Funeral Home,ChIJd7h0GWYMe0gRVdLZPeGwWXw
Billington’s Funeral Directors,ChIJQY-vvCtqe0gRe8_GS8cW_Ao
NC Funeral Directors - Cleveleys - Northern Cremations,ChIJDQXN16tce0gRwTNH1O21YYo
Osborne Funeral Directors,ChIJ-VJNppvmYkgRvBgs79SOhAo
Jardine Funeral Directors,ChIJL2iq_mzKYkgRRL_N416dokc
Alexander Muir Funeral Directors,ChIJn7Eb7bShYkgRcsWCnTWPEOM
Pets at Peace,ChIJQVShUW8xY0gRFQ8HSQK8UGE
