name,email,place_id
M A Entertainment,generalenquires@maentertainment.co.uk,ChIJcYrDDoTWO0IRnRT9unNk_Lk
Sovereign Entertainments,sovtechnical@gmail.com,ChIJQye9_VVz30cRd0LYMJNmR_g
Lookalikes,info@lookalikes.co.uk,ChIJj9TIdeNz30cRnX9F_0sJOoY
Warble Entertainment Agency,tracey@warble-entertainment.com,ChIJg-bHgPX1ekgRfB_mdim8D2I
Acting Moon Events,info@actingmoonevents.com,ChIJ3Txd7Ptz30cRX27c3kfgisI
Level Eleven Events & Entertainment,office@level-eleven.uk,ChIJnTv6IQ5u30cRaWT7QamGH74
thebestof Eastbourne,chris.prax@thebestof.co.uk,ChIJt4UsZftz30cRm0mfWLsK_K4
East Sussex DJ's,info@eastsussexdjs.co.uk,ChIJE9_by1UR30cRvOAIbaZrQ3I
Cindy Thompson Entertainment Agency,info@cindythompsonentertainment.com,ChIJn6GA1BeldUgRUmoyop5RJH0
@rhiannon3 at www.fansonly.com,joseph jlepore@fansonly.com,ChIJ0WdywDJz30cRIMaFJrK9r4c
Ritchie Lee Entertainment The Party People,info@ritchielee.com,ChIJeUOLMyIQ30cRvyZBmt-0kLM
The Magical Experience,magic@magical-experience.co.uk,ChIJV24Zvjdx30cRV1XiOIGb_B8
Musical Nostalgia UK,philhudson@virginmedia.com,ChIJVd7pb1bgdUgRa0_6kBw8f_c
My Mate Can,info@mymatecan.com,ChIJcUdMzE0JK4cRz4wL__dVMrM
Counting Stars,info@counting-stars.co.uk,ChIJkTr7HJNz30cRjDeH-bav1nE
No name show productions,info@nonameshowproductions.co.uk,ChIJtfzeYo5930cRuu13gHskTeA
Seaford Little Theatre,secretary@seafordlittletheatre.co.uk,ChIJWQrv5OR730cRJVyNEM_K74k
Entertainers Worldwide,promo@entertainersworldwide.com,ChIJNza4qYcddkgRQC9bJ99tizs
Mike Russ Entertainments (MRE) Group Ltd,admin@mregroup.co.uk,ChIJaVvbwkUddkgRpUWYmyBY7Hw
The Entertainment Agency,info@the-entertainment-agency.com,ChIJeRwrKBAbdkgReQ1ww5TrOs8
Elpromotions Agency,info@elpromotions.co.uk,ChIJnzYcnfK8cEgRBYapM2JpOJY
"The Supershakers, Wedding & Party Function Band for hire",info@thesupershakers.co.uk,ChIJ9ztUGFMddkgRRhm--5cCnAA
CS Entertainment,info@csentertainment.net,ChIJZRMHHgKw9UARJhSiaoD26Xg
Chosen Events Entertainment,enquiries@chosenevents.co.uk,ChIJU1XBcaYcdkgRw0YW5Egey80
Unlimited Promotions,info@unlimitedpromotions.co.uk,ChIJMfvhjkFu30cRidRvfVzywwc
Joogleberry,acts@joogleberry.com,ChIJffoz1UGFdUgR8z64SVKQmvI
Double Media,hello@double-media.com,ChIJNZuV5XFr30cRms96QgEbWxg
RedLine DJs & Entertainment,info@redlinedjs.com,ChIJjan4EdYcdkgR1rMKsG3zIhg
Bates & Co,lettings@batesandco.co.uk,ChIJqbDPlBNu30cR8NqxitekYPQ
GO2 ENTERTAINMENT,info@go2entertainment.co.uk,ChIJBzjPpKOHdUgRlC64y6g0bpQ
E3 Group,david_hill@e3grouponline.com,ChIJB0tYjUCFdUgRcYrV-YdMnEY
Entertainment Paparazzi,hello@entertainmentpaparazzi.com,ChIJn3TDrlFzdkgRw82m5aYnWls
Comicus Ltd | Speakers Bureau & Comedy Agency,info@comicus.co.uk,ChIJ4UNGQr2PdUgRI7d9PV7B7TM
E3 Events,info@e3eventsonline.com,ChIJBTsOQWKFdUgR8iM-XfYgmew
MCE Music,info@mcemusic.com,ChIJSRfCgoGFdUgRQKLHC7iEklo
Unity Talent DJs,paul@unitytalent.co.uk,ChIJG1sADEaFdUgRbV8N7G1Ox_U
Fresh Agents,sophia@freshagents.co.uk,ChIJu69poguFdUgRjIeM3tO_b58
Electric Cabaret Company,info@electriccabaretcompany.co.uk,ChIJSb13zK-FdUgR386emKwif0M
Arcanic Events,info@arcanic.events,ChIJS5PQyu8vn00RFyuWc3d0HSg
Sidewinder Management,sdw@sidewindermgmt.com,ChIJc4iLa0OFdUgRdo_tZS_VoXE
The Eventa Entertainment Group Ltd,stephanie@theeventagroup.com,ChIJc6zpunSFdUgRFQF-ug7KDIg
Marta Rubio Agency,info@martarubioagency.com,ChIJfYUha9iyJoQR3vo4B9e2MOw
Move Animation Studio,hello@moveanimation.com,ChIJ7-TZacWFdUgRVTBZc-pmh_o
Fairy Dust Events,ollie.canham@hyde-housing.co.uk,ChIJFU3Wf32PdUgRX_M9bwqcH48
Lulu's Black Market Events,info@theblackmarketbrighton.com,ChIJCRTMkk1yd2ARrqnWDYhIQKg
Circus Brighton,info@circusbrighton.co.uk,ChIJb0doIJKFdUgRZP0N9sfGUNI
The Toot Suite,hove.actually@ntlworld.com,ChIJm5EWtFaFdUgRn7Lkso3ENqg
Model Talent UK,contact@modeltalent.co.uk,ChIJH0dMgkUoCY8RsyqB_anpCRk
Hart Entertainment,zoe@hartentertainment.co.uk,ChIJDcw9PRqadUgR_GkD2Zwk9jw
Songbird Entertainment LTD,hello@songbirdentertainment.co.uk,ChIJOWOJ0YvHNK8Ra72bzQNrr-E
Limelight UK Events,info@limelightuk.net,ChIJqRdQgwmadUgRmiBM5pBYfTY
D&L Acoustic Duo,d.l.acousticduo@live.com,ChIJOxJ8VceFdUgRAkPZh40Tqw8
The Hen Fairy,info@thehenfairy.co.uk,ChIJgeTGqXiQdUgRDNJjAmX_XC4
The Madhatter's Tea Party Wedding Band / Function Band / Covers Band,juliet@julietlemon.com,ChIJk2gE7oeQdUgRPw65exMj7ds
PIRATE.COM - Rehearsal & Recording Studios,community@pirate.com,ChIJrdD1hLuFdUgR5gFnETffvd4
Nuevo Staffing Promotional Agency,a.birley@nuevostaffing.com,ChIJuV_SpbGMdUgRnw6U7lIAnVY
Corporate Entertainment Company Limited,info@eventsworld.co.uk,ChIJ2RANzjBn30cRTx628TKKVXY
Peach Entertainments,info@peach-ent.co.uk,ChIJVWBELKfAdUgR0TMOSulTxms
Tulleys Entertainment Group,info@tulleysfarm.com,ChIJ4ZtXw7nt208R4dI5Z45EMi4
Elite Event Connections Ltd,andy@eliteeventconnections.com,ChIJewaSOviNdUgRPzs6YrgDsgw
Dainty Sue,sue@daintysue.com,ChIJmYvd-Db0dUgRvTA81Pz39Sw
XIX Entertainment,lynda.leach@xixentertainment.com,ChIJq6qqqnMFdkgR-ehg_AoqQlc
Gary Parkes Music Ltd,gary@garyparkes.com,ChIJjUOzG_MadkgR8PW8H6Q4zKw
Champions Music & Entertainment,agents@championsukplc.com,ChIJ5bvgUYEFdkgR2rOVLpdAN9o
Musicians Inc,enquiries@musiciansinc.co.uk,ChIJobRKi7sFdkgRbGkLwY327F4
Music Artist Agency,info@musicartistagency.co.uk,ChIJG27E4lEFdkgRgAkBJFBScC8
1 2 One Entertainment (UK) Ltd,paul@12one.net,ChIJKdIF4TUbdkgReGaGFdRBFdU
Mass Movement Management,info@massmovement.uk.com,ChIJdc4cIakadkgRWecVcOZWoJo
We Are FMLY ltd,info@fmly.agency,ChIJ36uW3z5ArKMROJxKdJbV20o
IN CROWD AGENCY,holly@incrowdagency.com,ChIJlYOW0G0CdkgRSc2MZC5_tPM
The Business Creative,nik@thebusinesscreative.com,ChIJb-o4KAuFdUgRAYxXhY1rjqk
Lout Promotions,patrick@loutpromotions.co.uk,ChIJxy8ijaCFdUgR1aQjOX5EG-Q
13 Artists,matthew.cooper@13artists.com,ChIJcZI2ZnWFdUgR27pjLKucTLg
Mack Entertainment Ltd,info@mackentertainment.co.uk,ChIJZX75DJnXdUgRPKTu6xChTQE
Juggletastic,helena@juggletastic.com,ChIJjcVNRD6GdUgR8iwTp4vyyto
