name,email,place_id
Beauty @ SoLo,info@beautyatsolo.co.uk,ChIJ6THV8CUafUgR_wSHpuCLdrk
Elysee Salon,vikki@vikkiswift-hearingcare.co.uk,ChIJTd5LEyYafUgRmQDNCcUfWrk
Cirrus Beauty Rooms,info@cirrusbeauty.co.uk,ChIJuy2PnY8ZfUgROG7Ctniines
Chloë’s Beauty,enquiries@chloes-beauty.com,ChIJM8RtiS8afUgRjqU0PR9lOD4
Uglee Betties,info@ugleebetties.co.uk,ChIJrdtG_ykafUgRObkHt6o-qso
Samantha Ward Aesthetics,info@samanthawardaesthetics.co.uk,ChIJgTTEVSYafUgRZzf1Vbut-Qs
The Loft Beauty Rooms,theloftbeautyrooms@outlook.com,ChIJf200--cYfUgRTECaAIp3Sng
Changes (Carlisle Ltd),contactus@changescarlisle.com,ChIJSWiNhy8afUgRPrW3QRD8aTg
Carlisle Wedding Hair,carlisleweddinghair@gmail.com,ChIJOZlrXi8afUgRVpz-zodwvlA
Belle Âme Beauty Lounge,belleamebeautylounge1@gmail.com,ChIJJeABxysbfUgRVk6gzHhTihQ
Talking Heads,admin@liix.io,ChIJ33ts-zEafUgRQFtdmuZmL6k
Pazazz,oban2005@icloud.com,ChIJP38M3S8afUgRlZ8rpnZRR8E
The Bannatyne Spa,adrianworsley@bannatyne.co.uk,ChIJv6kxKgMafUgRLjVxFkGyoTI
Brockles Hair & Beauty Salon,info@brockles.co.uk,ChIJC45jMID7fEgRRl3kwtgFnaw
MW aesthetics,mwaestheticsclinic@icloud.com,ChIJM4r1J-rlQqkRJ3qWccBlR5E
Lake District Pamper Company,lakedistrictpampercompany@gmail.com,ChIJ7XKyuPP5fEgRUo8ofDRM2Tk
Bliss Beauty Studio,hello@fresha.com,ChIJh5ki3X_7fEgRKKHGfakc2Tw
Olive Tree Wellness,info@olivetreewellnesstherapies.com,ChIJ6-BDBoz7fEgR6HmQ42Q-6To
Hidden Beauty,hiddenbeautyambleside@gmail.com,ChIJL6ImIvDqfEgRewC57y2wuUU
Salon Rouge,hello@salonrougepenrith.co.uk,ChIJ8cTQoX_7fEgR3t7zGGxkCIg
Eden Beauty Rooms,faye_g@hotmail.com,ChIJRVJBgZikfEgRks6u7i1NhNI
Five Senses Hideaway,info@fivesenseshideaway.co.uk,ChIJKbni9ysZfUgRVCMeSelFgUc
The Green Rooms,info@greenroomskendal.co.uk,ChIJvdiHQOiNfEgRe8HBjQrqiVo
Lakes Beauty & Nails,lakesbeautyandnails@gmail.com,ChIJ4_f1humUfEgRS5Zt2sUL-uo
The Lake District Microblading and Skincare Clinic,zoe_nicholls1984@hotmail.co.uk,ChIJJaGsD6z7fEgRN-F8Hv9x5iU
Aqua Sana Spa Lake District,odr@centerparcs.co.uk,ChIJjWya3Q35fEgRJTHIPdWzpiA
Pure Essence Beauty Salon & Spa,book@pureessencebeauty.com,ChIJnSZMjK6EfEgR49M_beLUZkc
The Spa & Treatments at North Lakes Hotel,spa@northlakeshotel.co.uk,ChIJJ_UHDXr7fEgRybWd6PZtffY
Kennedy Bridal Make-up,lepetitsalon@aol.co.uk,ChIJw1SmD_v7fEgRXh5j2seUe_w
Botanic Beauty Rooms,botanicbeautyrooms@hotmail.com,ChIJC6k-GxtZfEgRP1e95CfVkdg
Lakeland Beauty Salon,lakelandbeauty@hotmail.com,ChIJ3RlGWsKNfEgRLS4A4DyfnSw
"J'adore Beautique Beauty Salon, Make Up Artist, Microblading",jadore-beauty@live.co.uk,ChIJFQHgC48ZfUgRzItORTUvlp0
The Hair & Beauty Studio,thestudiokendal@gmail.com,ChIJvzN_4-iNfEgRqhCHj5AhUHY
Cloud9 Beauty Rooms,cloud9beautyrooms@gmail.com,ChIJZyal4JikfEgRQx2e5IM75bQ
Daniel Gray Hair & Beauty,info@danielgray.co.uk,ChIJoeBz-sKNfEgRAAb62fefa94
VL Aesthetics,info@vlaesthetics.co.uk,ChIJBYR0t_EZfUgRwbggj9cndo8
Julia Curwin-Bennett Massage and Facials,julia@curwin.co.uk,ChIJHdZzRMDRgywRaviwsDgy4Z0
bellissimo beauty,info@bellissimobeauty.co.uk,ChIJJxpum8KNfEgRBKWqP8ihThQ
Bowness Beauty,laura@bownessbeauty.co.uk,ChIJS3xX8-2UfEgR5Q-OLIz8yNw
The Rooftop Retreat,info@rooftopretreat.co.uk,ChIJ3Y6KdY8ZfUgRGbvLaH_Nsyw
Victoria Anne Beauty,victoriaannebeauty@gmail.com,ChIJ2zmOMHSHfEgRZonlgFBqSY4
Vanilla Beauty,info@vanilla-beauty.co.uk,ChIJ0QuLVLeZfEgRoz8tnuDtGVU
LW Beauty Cumbria,lw.beauty.cumbria@outlook.com,ChIJXw5E5umvfEgRmWYMXYxCUNc
Gilded Dreams,info@gildeddreams.co.uk,ChIJQXAeOrucfEgRNo0ZahmysOA
Visage Therapy Centre,info@visagetherapy.com,ChIJvT_NlhzUfEgRkSvYZv2JPRk
The Skin Genie Clinic,276688info@theskingenie.co.uk,ChIJzaINuaAbfUgRkqjXxBQ5EeA
TopBod Therapies,a.mcgrath@topbod.co.uk,ChIJqe6AxSobfUgRIjjUIilMoZ4
The Retreat at Red Barn,joannalouisedent@hotmail.co.uk,ChIJjzOTNtrjfEgR2-7qvl7-fUc
Beauty By The Lake,info@beautybythelake.co.uk,ChIJgQkZri-_fEgRC0nhso0k_XU
DreamsDay Spa,aileen@dreamsdayspa.net,ChIJSyZnJQAafUgR-6Fj_z0O6Ec
Sands Sunbeds,enquiries@sandsgifts.co.uk,ChIJ12N7lX_7fEgRZ-YvdZ4LlGg
The Lane Hair & Beauty,hello@thelanehairandbeauty.co.uk,ChIJmYJTweeNfEgRQlq3eeNiPEk
Frothimoon Beauty,team@frothimoon.co.uk,ChIJodTayueNfEgRSTRF3aT_7iA
Sapphire's Boutique - Nail and Beauty,robert@broofa.com,ChIJi5SE83mNfEgRh-J79YBTHWQ
The Haven,thehavenbeauty@yahoo.co.uk,ChIJaQtMtE8PfUgRkSFYE3rLjoY
Solo Beauty,solo.beauty@aol.com,ChIJRxRHO3YsY0gRn6rP8t7gH5g
Kim Salon Nail & Beauty,info@kimsalon.co.uk,ChIJHfRVXGmVfEgRXRxzUfgxa4k
Waterfall Health Spa,ambleside@hotelslakedistrict.com,ChIJBRWB4e_qfEgRnQyanl96v2A
Boots,ian.thwaites@boots.com,ChIJ06eRnX_7fEgRoWaiNp3i0qA
Prestige Health and Beauty ltd,info@prestigehealthandbeauty.co.uk,ChIJRfdYzHKefEgRdyP_m4VSptI
Brazuca 1 Gentry Grooming,brazucabarbers@gmail.com,ChIJq6qqqh8afUgRqs7zgZT2LRs
The Hair Lounge & Beauty Room,info@thehairloungewindermere.co.uk,ChIJQYI7l72UfEgRRrupFUWDGzY
Ghyllmount Dental,reception@ghyllmountdental.co.uk,ChIJbTlijHr7fEgRxCu-kIQKRCs
Couture Hairdressing,lucy.stewart62@yahoo.com,ChIJLRh0vX_7fEgRAxCPBo1Qp-A
Grace and Glow Beauty,joanna@graceandglowbeauty.com,ChIJf8osHPj9fEgRbbMDHqEegII
Face To Face Beauty Spa,facetofacebeautyspa@gmail.com,ChIJqTyO1HUsY0gRUojY2ioZtD8
Hailo Beauty,haileymcritchie@hotmail.co.uk,ChIJ8-VMHGPbfEgRUOU3KQpnF34
Olive Tree Beauty,theolivetreebeauty@gmail.com,ChIJFaEwBh3UfEgRBFYi6IW85GU
Bloom Beauty & Wellness,rachel@bloombeautycumbria.co.uk,ChIJPSMtSPwtY0gRcTZ7NJ0bJrE
Shannon's Aesthetics & SPMU,fame@live.co.uk,ChIJv6NxWzn7fEgRMtLLsS3yz-Y
The Brow Tech,info@carlislebrows.com,ChIJNUXWEIIbfUgRLc_4o5p-avI
Tantalize beauty,tantalizewildey@hotmail.com,ChIJDW1vd5cZfUgRvNn8wbSp8PY
Lofters Hair Design,info@caldbeckvillage.co.uk,ChIJf19s3AcgfUgRg_IAAjSrG1A
Bella Vita beauty & skin clinic,info@bellavitawhitehaven.co.uk,ChIJHxx7OuUxY0gR6nKjdpo2V9U
obe Hair Studio,obehairstudio@yahoo.com,ChIJhzTEVSYafUgRZCklbBgigKg
Salon Vibe,mailclair@me.com,ChIJyXwH3fIZfUgR5C9cJ7OoCy4
Jude Kelly Hair & Makeup Artist,info@judekellymakeup.co.uk,ChIJX0h6U3EZfUgRPcrml-EvIEk
Foxghyll Calm & Beauty,foxghyll.calmbeauty@gmail.com,ChIJW1urXsIpQAERBPM5B-NN_HY
Benefit Cosmetics Beauty Counter,northamerica@benefitcosmetics.com,ChIJZ2S0Vy8afUgRR7mgPVjdRGo
be radiant,info@beradiant.me,ChIJdy3GFGc5DGARV1nIaP-vmJ8
AMETHYST | Beauty | Wellness | Relaxation,enquiries@amethysthealthandbeauty.co.uk,ChIJ9QEZbAbUfEgRngh4NVB8hOs
Samantha Jayne Hair,info@samanthajaynehair.co.uk,ChIJBbdoOh3UfEgR2VWUorNHAfk
Pure Touch,info@puretouchbeauty.co.uk,ChIJRQqoAx3UfEgRly5KjEeWiio
Halo Beauty & Co,support@xero.com,ChIJBbdoOh3UfEgRL011_0cuW8Q
CNB Hair & Beauty,cnbbeauty444@gmail.com,ChIJsayEem29IS4RS8h5_LSPIVI
Absolute Beauty Centre,naomi.henderson@phorest.com,ChIJ51FB6uQxY0gR_9CIemyxT9M
The Tanning Place Cockermouth,johnsmith@cockermouthsunbeds.co.uk,ChIJwWV7BR3UfEgRLl_ItGXO-28
The Beauty Spot,beautyspot128@gmail.com,ChIJY63kjeQxY0gRVAWrHrok__E
NV Beauty Lounge & Makeup Studio,nvbeautylounge@live.co.uk,ChIJISDT4uQxY0gRNfJ4RzTO26w
Lakeland Wellbeing,jen@lakelandwellbeing.co.uk,ChIJ5Z90b-3bfEgRy4kG3H6zGYU
Love the Lakes Keswick,tomtasevich@lovethelakes.net,ChIJEarHGWPbfEgRsZxEmfhezw4
Packhorse Court,info@packhorsecourt.net,ChIJrWhDJGPbfEgRUCZE0vS89Jc
The Brow and Skin Studio,admin@browandskinstudio.co.uk,ChIJFWgjPRjVfEgRelUuCwzXhxY
Calisa,support@webador.com,ChIJdai7-hfVfEgRIcU7Iyzcpao
Vivid Beauty,vividnailsstudio@gmail.com,ChIJbbDd8m8rY0gRGLRAJTZxVOI
Spectrum Hair Boutique,amyleigh.robert@gmail.com,ChIJSYJbgiIzY0gRfq9pasjiCMI
The High Brow Beauty Bar,xxkatymc06xx@hotmail.com,ChIJa6r3uMsrY0gREz1Q-xxFpH0
M Nails & Spa,mnailsandspaworkington@gmail.com,ChIJ65SyuXcsY0gRZuPSpZQYBjM
Trilogy Beauty,info@trilogybeauty.co.uk,ChIJf_Y4UnQrY0gR-tJqOedGkZM
Polly's Parlour,pollysparlour_salon@outlook.com,ChIJq6pm6eQxY0gRoYAV1qSeEio
Waves Skin Therapy,wavesskintherapy@gmail.com,ChIJnZzYBGMxY0gRdzZil2LSKs4
QwinnT'Sentiel Beauty,qwinn@hotmail.com,ChIJBXS8q9YxY0gRaYi84IDLBv8
Bespoke Beauty,bespokebeautywhitehaven@outlook.com,ChIJmYO5u-UxY0gR-hGYhD3jsVc
The Tree of Life,thetreeoflifetherapies@gmail.com,ChIJwwVW4awmfUgR5QWWo32ORbk
Redefine Medical Limited,xx@redefinemedical.co.uk,ChIJh01IKHgsY0gRTEdPxtPNJ1Y
Kwik Tan: Workington,customercare@kwiktan.co.uk,ChIJ3ekfTXYsY0gRBbD_mbNPZ_k
LK Nails - Workington,lknailsworkington@gmail.com,ChIJE1Ie8nItY0gRbUwPHgloZy8
Essence Cumbria Aesthetics,hello@essencecumbria.co.uk,ChIJ45G_zyHVfEgRgYMFLhYudK4
Yasmin Chloe Hair Design,yazzie-b@hotmail.com,ChIJfXOtJrgqY0gRu9mHNjm64l8
Curzon Street Dental Practice,curzonstreetdental@gmail.com,ChIJdXv3H7gqY0gRIFeiYSyJLAA
Handmade By You,legal@etsy.com,ChIJOxbUDrgqY0gR3A1pgoiY7fM
Enhance Hair & Beauty Salon,info@enhancesalon.co.uk,ChIJMwpSyTRDfEgRxPivqax2oBM
Park Lane Cartmel,info@parklanecartmel.co.uk,ChIJYVXnWWuYfEgRTH9kDEWaUB4
The nail nook.seascale,thenailnook.seascale@gmail.com,ChIJyf3udjo1Y0gR9N7GWvnmZWI
Mill Place Holistic Wellbeing,fern@millplaceholisticwellbeing.co.uk,ChIJQVxhGefLfEgRHEd20Anmd8k
"Boot Inn, Eskdale Valley",robertbirkett@gmail.com,ChIJ4zFArC3IfEgRlHEf3QIXivs
Swain Hairdressing,hello@houseofswain.co.uk,ChIJV8U5teUxY0gRSZzOgTNGxCI
The Sawmill Cafe & Farm Shop,info@wasdalesawmill.com,ChIJq5D5aODLfEgRjyW-cjmUF3Y
YHA Eskdale,dawnholden@yha.org.uk,ChIJN27USSnIfEgRZP3QYj4PuYA
Hair Supplies,sales@hairsuppliesdirect.com,ChIJx2hsmOQxY0gRLLu-Ud-duQo
Eskdale National Trust Campsite,ciaran.wallace@nationaltrust.org.uk,ChIJo94vey7IfEgRAXJoHDicarM
The Original Factory Shop (Egremont),zashworth@tofs.com,ChIJMa9NlZIzY0gRyWgp_D53RXQ
Violet White Salon,info@violetwhitecarlisle.co.uk,ChIJs6Q_HScafUgRY-ybOyO7OAA
Rebecca J Hair,becki.j.jones@gmail.com,ChIJiaywkhYbfUgROpx-h0uLSXw
Claire Woodmass Bridal Hair,claireshairloungecarlisle@gmail.com,ChIJ37wXvqkbfUgRLEzgpjijM8k
E.S Hairdressing,info@eshairdressing.com,ChIJMym0qScafUgRrseJmVI7jK4
Becker Beauty,info@beckerbeauty.co.uk,ChIJb6WaFEYafUgRb11rnLCUpDU
Sally Beauty,ukcustomerservices@uk.sallybeauty.com,ChIJtWrW-P0ZfUgRf7Clp2qxEaM
ATELIER HAIR COUTURE,homeelecconseil@gmail.com,ChIJHxCPgC8afUgRyadxfrrIoFs
Clarins Skin Spa,danielle.yates@clarins.co.uk,ChIJVVVV0CUafUgRjcud4iUxwA8
The vintage beauty room,laura.vintagebeauty@gmail.com,ChIJ62-nXRAxY0gRUBvxCydU1UE
Mindful Alchemy Holistic Massage,mindfulalchemyholistic@outlook.com,ChIJf5nxmIc1Y0gRNszhhfbGJ8A
Hartleys Ice Cream,info@hartleys-icecream.co.uk,ChIJaaxlF44zY0gRcV_cq745PwM
