name,email,place_id
Walkers Funeral Directors,scarter@dignityfunerals.co.uk,ChIJlRVmbIUZfUgRIPf2tjifC_Y
George Hudson & Sons,hudsonfunerals@aol.com,ChIJ3xC845oZfUgR2C4DTIytqng
"Co-op Funeralcare, Carlisle",simon_ha@coop.co.uk,ChIJ7YDBp7qlfUgRBNSHRkBmpzM
Jill Glencross Independent Funeral Director,dalstonchapelofrest@gmail.com,ChIJ0Trgd24ZfUgRiiZepprG_ug
Adams Read & Hocking Funeral Directors Ltd,enquiries@arhfuneraldirectors.com,ChIJ7ZZF_f4yY0gRsCP01ed4Kbo
Eaves Funeral Service,office@eavesfunerals.co.uk,ChIJwxfXieoxY0gRu96O7gEb1qg
Dawn Evans Funeral Director,info@dawnevansfunerals.co.uk,ChIJCZTblKUbfUgRsauydA4hkuA
Little and Caine Ltd,info@littleandcaine.co.uk,ChIJW1-4ItuofEgRe7e-5UeIAPA
Ian Blair Undertaker,blair.tincastle@gmail.com,ChIJuaYWs1gPfUgRqyTNDg_qVS8
Sheldon Funeral Services Ltd,richard@samuelsheldon.co.uk,ChIJd1aU2SWufEgRZOrebQmEIgc
Green F & W Ltd,info@greensfuneralskeswick.co.uk,ChIJDw6wgZ3cfEgR9LlP201Yisw
Jones Glyn,glynjonesfd@outlook.com,ChIJA1LMD-FZfEgRa0KW9Ff1D6o
JJ Martin Funerals.,info@jjmartinfunerals.co.uk,ChIJde52y4thfEgRfYOSotVAzNg
Saunders & Son Funeral Directors,liam@saundersfunerals.com,ChIJBw2cEqOZfEgRRV0uHRAKVR8
F Irving & Sons,enquiries@irvingsfunerals.com,ChIJFaRUi5MyY0gRzdaSoK8ybkU
D C Studholme,info@dcstudholme.co.uk,ChIJL_4Ut6wmfUgRmY1PVPFoSj8
J Hill & Sons,info@jhillandsons.co.uk,ChIJrUQRg6wmfUgRAuvt1lvmMf0
Hobans Funeral Service with Andrew Richardson,info@hobans.co.uk,ChIJaUXQLIYtY0gRO-8isYLRE_k
Alan W Johnston,stephenj55@btconnect.com,ChIJPZ7jCbgqY0gRQ22GWbYXzks
Fishwicks,info@parkinandjackson.co.uk,ChIJRy4TzMmafEgRzZFUNxMugvo
Fawcett Alan M,info@alanmfawcett.co.uk,ChIJJZmo37CcfEgR7qJTHE84oSw
J N Wilson,info@wilsonsfunerals.co.uk,ChIJX9zw6qacfEgRajdM3ZmSu7s
Edward Duckett & Son,john@duckett.ltd.uk,ChIJ5f4qNz6FfEgRE-XG-vKWi5c
Nicholson Funeral Directors,info@nicholsonsfuneraldirectors.co.uk,ChIJjayS-6YWfUgRmyMcmaHx9gs
A G Clarke Funeral Director,anthonygclarke2@btinternet.com,ChIJQXyYCd2WfEgRtNTlzbQTBMQ
Carlisle Crematorium,jason.gooding@carlisle.gov.uk,ChIJqzHec4IZfUgRA1flM0t64oM
Brigham Cemetery,robert.doran@allerdale.gov.uk,ChIJ52fpDHPVfEgRk9HkN1-s_7Y
M W Shepherd - Carriage Masters,enquiries@mwshepherd.co.uk,ChIJSR9cQqSZfEgRo4sK_PKuxiA
John Blenkiron & Sons Funeral Directors,james@blenkirons.co.uk,ChIJG7jIMSs7fEgRKrWr19N7o3g
B & W Funerals,jmfunerals@gmail.com,ChIJ-Tb07CV8fEgREIx6un2HRK0
Lowther Funeral Services Ltd,lowtherfuneralservices@gmail.com,ChIJQ8tj70nYfUgR1L2XmQ53xlE
J Dickinson SC,jsdickinson86@outlook.com,ChIJu5r9HPTAfUgRCXWNMMsPQdw
Bare & Torrisholme,btfuneralservices@gmail.com,ChIJK_r_c8OdfEgREnOQFDBghCc
E Peart Funeral Director,epeart@funeralpartners.co.uk,ChIJJ-tRF8vZfUgR8V5TvUddjz0
Kaber Chapel,holidays@kaberchapel.uk,ChIJ745g7WJDfEgRPdpel80Ieuc
W S Harrison Funeral Directors,newcastle@wsharrison.co.uk,ChIJC_GiVlrffUgRX4vgKrjXDV8
Sanderson & Co,sandersonandco@btconnect.com,ChIJC89ytJUbfEgRj1maMXCElB0
Derwentside Funeral Service,derwentsidefuneralservice@hotmail.co.uk,ChIJGYO32gnWfUgR093FcjYrcPE
All Seasons Independent Funeral Directors,allseasonsfuneraldirectors@hotmail.com,ChIJf_4cZ8B3fkgRCtsSsUey-zE
Simon Barningham Funeral Directors,simonbarningham@funeralpartners.co.uk,ChIJTQlAKZkXfEgRlYM5AKTNzT0
Final Journey Funeral Directors,info@finaljourneyfunerals.co.uk,ChIJK5gwS9cbfUgR0aMNJaR1Mh4
Duncan Robinson Funeral Services,enquiries@duncanrobinsonfuneralservices.co.uk,ChIJ63-GMdx3fEgRYynXoQyVx1w
Kirkby Stephen Cemetery,richard.hills@cwgc.org,ChIJQUJVMqJdfEgRuB28B23hHoM
The Association of Private Pet Cemeteries and Crematoria,contact@appcc.org.uk,ChIJmagb4H8DfUgR5ibKtsL9M7o
Lee & Holmes Funeral Directors,info@leeandholmes.co.uk,ChIJU-LQHbwAfEgRSFMpRlOmZPk
Mountsett Crematorium,john.chapman@durham.gov.uk,ChIJP5lWUz7WfUgRT9mauqtLyS0
Clodhopper Blooms,frances@clodhopperblooms.co.uk,ChIJp2LcNDBdfEgRihkjzqX2nA4
Arnold Funeral Service,enquiries@arnold-funerals.co.uk,ChIJ3YldSk9vdkgRyM5CB7F7APk
Hambleton Crematorium Maple Park,maplepark@hambleton.gov.uk,ChIJG2epNQ-5fkgRB8DKyRZ6JhE
Gooding Funeral Services,info@goodingfuneralservices.co.uk,ChIJxctDbfRbeUgRWk4nZkoRO3I
Simplicity Cremations in Lancaster,enquiries@simplicity.co.uk,ChIJK215tEudfEgRuyMgzu-XzJ8
The Alex Willis Funeral Home,info@alexwillis.co.uk,ChIJveRdr9Fhe0gRylz-xcu1oMs
David Cowburn Funerals,david@davidcowburnfunerals.co.uk,ChIJpcf04FoNe0gRY_LFwloaXjk
Bolton's Funerals,info@boltonsfunerals.co.uk,ChIJMex3WyoPe0gRGAmM6ObMdWU
R Banks & Son (Funerals) Ltd Monumental Masons,info@rbanksandson.co.uk,ChIJVchVMPgPe0gR4stI_XtrtMM
Leigh Independent Funeral Service,info@leighindependentfuneralservices.co.uk,ChIJi76rO5cHe0gR87IOkFtq2-Y
Garstang Funeral Home - Greg Hodgkinson Independent Funeral Director,info@greghodgkinsonfunerals.co.uk,ChIJP521L9Ble0gRk50Z78YbeFI
Neal Buckley Funeral Services,lostockhall@nealbuckleyfunerals.co.uk,ChIJJbX764Fye0gR8fBKtw-GWyU
Barringtons Independent Funeral Services,claire@barringtonsfunerals.co.uk,ChIJexnYUmIke0gRMooq4G668SU
William Houghton Funeral Directors,williamhoughtonfd@hotmail.com,ChIJB8jPwQZye0gR1ki1PHQ-XIk
Moons Funeral Service Preesall,info@moonsfuneralservice.co.uk,ChIJjfcPY5xde0gRL5A6dOw5H4o
NEAL BUCKLEY,webmaster@nealbuckleyfuneraldirector.co.uk,ChIJcVvuppYUe0gRxgJnGtlM-Bk
Carl Kenyons Funeral Directors | Meridian Funeral Home,kenyonmeridian@outlook.com,ChIJd7h0GWYMe0gRVdLZPeGwWXw
Billington’s Funeral Directors,info@billingtonsfunerals.co.uk,ChIJQY-vvCtqe0gRe8_GS8cW_Ao
NC Funeral Directors - Cleveleys - Northern Cremations,debbie@ncfuneraldirectors.co.uk,ChIJDQXN16tce0gRwTNH1O21YYo
Osborne Funeral Directors,help@funeral-notices.co.uk,ChIJ-VJNppvmYkgRvBgs79SOhAo
Jardine Funeral Directors,office@jardinefunerals.co.uk,ChIJL2iq_mzKYkgRRL_N416dokc
