name,email,place_id
Screwfix Honiton,matthew.hawes@screwfix.com,ChIJ20z__1GFbUgRBUHHAfVuWL8
Toolstation Honiton,dan.oconnor@toolstation.com,ChIJ80Jcf8CFbUgRN46Fe4jKt0E
MKM Building Supplies Honiton,pok@mkm.com,ChIJA1kiClGFbUgRv7qV8zJRlI8
Jewson Honiton,steve.marchant@jewson.co.uk,ChIJl_itnVmFbUgRXkUfahg3fLI
Homebase - Honiton,mark.hutchinson@homebasestores.co.uk,ChIJb1nHqlGFbUgRD3-pCL81ozQ
Housewares Sidmouth Ltd,sidmouth.housewares@gmail.com,ChIJgTddNuOcbUgR4G10Xfdds3U
Total Plumbing Supplies Honiton,john@totalplumbing.co.uk,ChIJN3dMU1CFbUgRaLcTGZ2kvAI
Wolseley Plumb & Parts,roger.connett@wolseley.co.uk,ChIJXae9UViFbUgRuzGRhQj0hnA
Ilminster Home Hardware,enquiries@ilminsterhomehardware.co.uk,ChIJ7STUYqJzckgR9ciD5rFqAxU
Exmoor Hardware,enquiries@exmoorhardware.co.uk,ChIJl8PgvEzLbUgRY9WIyQIAqqM
Howdens - Honiton,rebecca.norris@howdens.com,ChIJb1nHqlGFbUgR5uUcb18YnZE
Labdon Building Supplies,paul@labdon.co.uk,ChIJMccdPGqWbUgRwPWBuHtjaJg
Bradfords,mark.eburne@bradfords.co.uk,ChIJJTQOLM2VbUgRfWwQeN7fgB8
Brook's Basics,brooksbasics@btconnect.com,ChIJJaH4UJumbUgRZFidAjIrArg
United Fixings Tiverton,info@unitedfixings.co.uk,ChIJXZFWG-m-bUgRVrUOwdAAHR8
McVeigh Parker Farm and Fencing Suppliers,sales@mcveighparker.co.uk,ChIJMfTz-3aWbUgRAFDfl5D13z8
Mole Valley Farmers - Cullompton,info@molecountrystores.com,ChIJvahQdV2WbUgRFLbqlTxftqI
H T Perry & Son & Granddaughter,htperry@talktalk.net,ChIJvdOKTa_ybUgRpYdeMf2YSs8
Tesco Superstore,charles.fergusson@tesco.com,ChIJL_oXwkGWbUgR4Zk4I3gPX0o
Brookridge Timber Ltd,sales@brookridge.co.uk,ChIJ4eviOZCNbUgRnQha5J_nXgk
RGB Building Supplies Tiverton,paul.west@rgbltd.co.uk,ChIJz7vpruq-bUgRW3_mHDMUZes
B&M Home Store with Garden Centre,bobby.arora@bmstores.co.uk,ChIJZ1UuH1G-bUgRpOshNIvar9Y
Travis Perkins,mark.mckeown@travisperkins.co.uk,ChIJoT632fO-bUgRGeFnqqdvvQg
City Plumbing,darren.jones@cityplumbing.co.uk,ChIJywEvAFG-bUgRgpQCMkkikvA
M P Supplies,sales@mp-supplies.co.uk,ChIJhZnJCso0bEgRVdkNTNsvKL4
Poundstretcher,stewart.dickson@poundstretcher.co.uk,ChIJpb_PLOy-bUgROXX6ewYfEGQ
Plumbase Tiverton,i.golden@plumbase.co.uk,ChIJA57H5FC-bUgR7viDkraArFc
Rotary Power Sweeping Ltd,info@rotarypowersweeping.co.uk,ChIJN1taNVe-bUgRnZ3NOF9dM5s
Argos Tiverton,cezar.fetu@argos.co.uk,ChIJofVw3O2-bUgRuTVmHORXX0Y
Heathcoat Retail Shop,contact@sansoxygen.com,ChIJQaPfPum-bUgR4aTbSWrwHQI
Eakers DIY,sales@eakersdiy.co.uk,ChIJ73iaESiwbUgRXoie55X2-dI
LoCO2 Heat,support@loco2heat.co.uk,ChIJIYbbwlC-bUgR-BWeTEwFhv8
Adams Home Hardware,onlinesales@homehardware.co.uk,ChIJp_pktNWxbUgRSc8DcYZBTpw
Halfords - Tiverton,greg.dornan@halfords.com,ChIJCVyYKv--bUgRlpT7Otr8G9A
Tuckers Country Store,crediton@edwintucker.com,ChIJC7cWfSiwbUgRN06CFA50p8g
Southwest Fixings Ltd,web@southwestfixings.co.uk,ChIJkUUZhjNJbEgRXSMYuGJibCM
ProToolZ,info@protoolz.co.uk,ChIJjSAfUj9FbEgRHpYmqfF3IPg
Andrew Symons Ltd - South Molton,jaysonluscombe@andrewsymons.co.uk,ChIJW2kuKlHLbUgROFJwMF4SHHo
Slees,sales@sleesbraunton.co.uk,ChIJ1UnxFFIjbEgR2FNLrWIBYks
Blanchards Home Hardware,info@blanchardshomehardware.co.uk,ChIJbXtsoHU-bEgRrniOixutAx0
Grace & Glory Home,enquiries@graceandgloryhome.co.uk,ChIJ65mtdlU6bEgR7JC2Mci9-Xk
TradePoint Barnstaple,david@trade-point.co.uk,ChIJIxqwUYw6bEgRxQ8IKygk498
wilko,mark.hale@wilko.com,ChIJuYkayTukbUgRPosk186vvZg
B&Q Exeter,zane.witherspoon@diy.com,ChIJB2TExCikbUgRotDe-pFYLk4
Exeter Tool Shop Ltd,info@exetertoolshop.co.uk,ChIJ3S8OTW2kbUgRMhjMHlXoFvA
Wickes Exeter,chris.walker@wickes.co.uk,ChIJoymuu9qjbUgRM-bpuvhdINU
Huws Gray Exeter,dphillips@huwsgray.co.uk,ChIJYWZheLumbUgRlnjYKKMt05E
PHC Parts,michelle.tack@powred.com,ChIJb35-256mbUgR8Mmh-yuceXs
Machine Mart Exeter,craigc@machinemart.co.uk,ChIJAa9NJZymbUgRxPRGlctMXso
Exeter Locksmiths,enquiries@exeterlocksmiths.com,ChIJ-VMySy6kbUgREIghiEgj97k
Inter-Line Building Supplies,msl@inter-line.co.uk,ChIJ7XAJdSekbUgRPTMagTPD-yo
ASAP Locksmiths Exeter,workshop@asapsecurityuk.com,ChIJXbQSa0GnbUgRZYGCawc1gR4
Stock Exe Ltd,contact@stockexe.co.uk,ChIJjTyUEV6hbUgRT9HqH9kESu0
Crown Decorating Centre - Exeter,info@crowndecoratingcentre.co.uk,ChIJwXTDRh2nbUgRtgfy-EwVlw4
