name,email,place_id
UK Power Networks,paul.blatherwick@ukpowernetworks.co.uk,ChIJUQQSVzMbdkgRSPlydBM-Gp4
EDF,christian.harris@edfenergy.com,ChIJeS1w8CMFdkgR8ZU7P1_MF2c
Switchd,team@switchd.co.uk,ChIJYVPJXf0RdkgR6sQF-e0ocFM
Grays Utility Solutions Ltd,info@graysutilitysolutions.com,ChIJt11a-MDN2EcRaVUSVOSaUbg
Green Hedge Energy UK,tess.sundelin@green-hedge.com,ChIJsWaQYisFdkgRLAZxtgI7WKI
SwiftSwitch,hello@swiftswitch.co.uk,ChIJLS72TpkEdkgRAW0P68mR4yU
London Power,hello@mylondonpower.com,ChIJvddNxiobdkgR859neOWztnI
Keenan Electrical and Solar Ltd,mark@keenan-electrical.co.uk,ChIJoeCYgkcbdkgRhkxwsXpQV-U
House Rescue Electrical Ltd,info@house-rescue.co.uk,ChIJq6oT9XUbdkgRKPsd2HwwvFI
ENGIE,mike.grimshaw@engie.com,ChIJK0Jb-bkCdkgRRaYwxf2gduY
Piclo,meghan.collins@piclo.energy,ChIJD5GivLscdkgRoNEmOsPjn0U
Lightsource bp,mark.turner@lightsourcebp.com,ChIJHVbFJVMbdkgRe9gDPw7sLZs
Winch Energy Limited,info@winchenergypower.com,ChIJF67KEmgDdkgRJGrkfXSMlEc
UtilityKing,info@utilityking.co.uk,ChIJvSV7kQ8bdkgR1E3Z9p4UoPM
A&E Plumbing&Gas 24/7,aegas247@gmail.com,ChIJO3IOP1cddkgR3f8RAvsHbQM
EDF Renewables UK,info@edf-re.uk,ChIJW0Te05YFdkgRAov0zmH-dLE
Arin Power Limited,info@arinpower.com,ChIJr996IW1Tt0gRU7m3xf9mbpQ
National Energy,contact@dpa.gr,ChIJy_UQ2dQadkgRejPBqYDKkII
Ortus Energy,jane@ortusenergy.co.uk,ChIJlce6080adkgRjYTMm35mYpk
Treadlighter Ltd,peter.cross@treadlighter.co.uk,ChIJbzp401kPdkgRYw8Cj4PgVU8
"AIS Utilities - Utility Connections, Utility Installations",enquiries@aisutilities.co.uk,ChIJQe7uoowFdkgRI2GTtQDH0go
Green Power Home Services,info@greenpowersolar.co.uk,ChIJC1iqm3gddkgRJKo3-GQfvw8
Statkraft UK Ltd,ukprojects@statkraft.com,ChIJSf8pb6scdkgRNDQB39gC4Qo
Sunsave,complaint.info@financial-ombudsman.org.uk,ChIJ9Rzx76h3-EcRaW2PppTtYhI
Axpo UK Limited,souvik.ghosh@axpo.com,ChIJq7gSZLwDdkgRA8KCvIT_SmA
RCD Electrical LTD,info@rcdelectrician.co.uk,ChIJrWlvMiAmS4cRzcD3iubY1g0
Major Energy Users' Council,enquiries@meucnetwork.co.uk,ChIJA0AwU0wDdkgRjnhLDxDQ7U8
Soleco Energy,contactus@soleco-energy.com,ChIJG7iABScFdkgR3Td1V0nZ_5o
ELECTRICAL4LESS LTD,sales@electrical4less.co.uk,ChIJlcY5xUEPdkgRTNYwIp1NPEQ
City Electrical Factors Ltd (CEF),dave.nash@cef.co.uk,ChIJo0LQ_1Dw2EcREFZuWNEK1wQ
Edmundson Electrical,matt.ward@eel.co.uk,ChIJU2fRu_4zcEERnuzZ0HiPtyQ
Arc Power Ltd,uk@arcpower.co,ChIJzSCJJUUDdkgR7F-GYD14orU
Arrow Electrical,info@arrowelectricals.co.uk,ChIJkedgrrEadkgRTk8J0lUiI_o
E24 UK,john@e24solutions.com,ChIJAemL2boddkgRVuvl9a6k_LE
HeadTorch UK,info@headtorchuk.co.uk,ChIJF0zwoRsQdkgRDB_Dov5o6kY
Island Green Power UK Ltd,info@islandgp.com,ChIJ5-6N0soadkgRYdffwc8qFEI
SUEZ recycling and recovery UK,jason@bit.ly,ChIJQWT1TO0PdkgR4r7I_aukVXU
JF Electrical/Mechanical Services LTD,info@jfemservices.uk,ChIJI8xU6rgbdkgRaziPQQBFHSI
With Energy,info@hemiko.com,ChIJJ18OhzQbdkgR_m9VUHChqsU
John Lewis & Partners,zain.oppal@johnlewis.com,ChIJI6IWjywbdkgRZCa6K6ZF4UI
Elgin Energy,colm.murphy@elgin-energy.com,ChIJXWBmhDIFdkgRsXAlJiJQcNQ
WB Power Services Ltd London,a.wilmott@wbpsltd.co.uk,ChIJRQDWgDYDdkgRIALsa4W6TEs
Urban Design and Build Ltd North West London | Loft Conversion | House Extensions | Solar Panel Installation,info@urbandesignbuild.co.uk,ChIJ49MJFV0NHUkREPunuEEtKTc
SunPower Industries,info@sunpowerindustries.com,ChIJd8iBZiEFdkgRCdVEd_9FRWk
Ethical Power,andreas@ethical-power.com,ChIJh446jlcFdkgR54Vds-aWvq8
Western Riverside Waste Authority Recycling Facility,info@wrwa.gov.uk,ChIJu5aA0nwPdkgR5kfgasLWTQM
Green Energy Plus,sales@greenenergyplus.co.uk,ChIJm16BI56RcEgR5nJViLmSmvw
OVO Energy,lym.tai@ovoenergy.com,ChIJHRJl8fsPdkgRRXRBotybOfw
ABL Group - Marine Engineers & Consultants - London,katie.tunkina@abl-group.com,ChIJMcvdm0sDdkgRHdgYmEIQ16E
123 Brackets,sales@123brackets.co.uk,ChIJcQ3aQ_oadkgRzTJlQwAEcKY
Cwc Removals,bookings@cwcremovals.co.uk,ChIJwc_k7Aip2EcR5qt8BodsbNM
Otovo UK,sun@otovo.co.uk,ChIJT9VXa5B1c24RoUGlidQyq70
Solarcycle UK,info@solarcycle.uk,ChIJkftIgLXHvA8R_uIziIoICA8
XIX Logistics Ltd,xixlogistics@gmail.com,ChIJFzVnt4kbdkgRrbRP7i2uPiI
EEW RENEWABLES LTD,contact@eewrenew.com,ChIJB2KjhzgFdkgRqAHEhSusJ5U
BDS Drainage,enquiries@bdsdrainage.co.uk,ChIJmypwBiqw2EcR7n_bPuD_Zvw
Solar Together,leicestershire@solartogether.co.uk,ChIJZbrIePICdkgR7ZYVzASQ7us
UK Waste Consultancy,info@uk-wc.com,ChIJje1Qc9UadkgRCiFL4hYJRg0
Sunray Solar UK,info@sunraysolars.co.uk,ChIJFxid0_oddkgRW3lx9b9duPA
Solar Advisory Service,andrew@solaradvisoryservice.co.uk,ChIJnzTvI3QFdkgRUYu1glbJ1CQ
International Removals & Shipping,partners@internationalremovalscompanies.co.uk,ChIJgY1ckUMDdkgRqHBzLfLsTd0
Soventix UK,p.klemm@soventix.com,ChIJfybsGEwDdkgRdZe7QytbM90
ENNOVIGA SOLAR LTD,s.gambro@ennovigasolar.com,ChIJRbz7ojYbdkgRO2wtTtOCUgQ
East Finchley Electrical Contractors Ltd,dmitry@ef-elec.co.uk,ChIJQy8whxgadkgRdbcxcVwQ_ys
Anytime Plumber,info@anytimeplumber.co.uk,ChIJUd5ePvyYcQ4Rim8D-9bqz-U
MakeMyHouseGreen,team@makemyhousegreen.com,ChIJQYy1nfLBhWkRvM2xwlmeFEw
ThermoFoam London,info@thermofoam.co.uk,ChIJc89ceSwFdkgRzn6IusFS4n8
Rapid Removal Group Ltd,info@rapidremovalgroup.co.uk,ChIJB-CvOncFdkgRhQ9S-KB7dAg
FiXT,hello@fixt.uk,ChIJAeQ5N9wFdkgR1oQ52oke7G0
City Waste Clearance LTD,info@citywasteclearance.co.uk,ChIJwwQkUOcFdkgRzryhrn8REzs
Recorra,helpdesk@recorra.co.uk,ChIJx-pHEqcEdkgRY2QrcHTG7Pg
DEON Energy Ltd,info@deonenergy.com,ChIJCbZx-igbdkgRVBMBanob6S8
Abbey Power Generation Ltd,webmaster@abbeypowergeneration.com,ChIJFT-R-NYadkgR3dZ9k9Vr3no
Cory Environmental Ltd,bkaufhold@coryenvironmental.co.uk,ChIJ9bdieP0EdkgRlSgaD6Igfyc
Matthew Finn - Utility Warehouse,sue.roberts@uw.partners,ChIJCSxkQo3EE2QRg62Ly8e0eT4
Forefront Utilities,info@ffg.uk.com,ChIJ_Xb2RGe52EcRuHPXScxY6Kw
Smart Power,info@smart-power.org.uk,ChIJqfovq8wEdkgRG7hk5qUZlLM
Elgin Energy,anne.arnold@elgin-energy.com,ChIJ-aGBgzIFdkgRWmnEC-V1TNI
Allume Energy UK,cameron@allumeenergy.com,ChIJK2pd2fQiraMRxm91WOHQAhg
A.P.M Electrical Merchant & Wholesaler,w1@apmi.uk,ChIJ-aeEz7obdkgRXzq5f4m1Lts
Solivus,info@solivus.com,ChIJq6qudw3idUgRBv8V-nnokik
Exagen Group,info@exagen.co.uk,ChIJg9LdwrMFdkgRFDKrHo8Fork
Robert Dyas Tottenham Court Road,d.cole@robertdyas.co.uk,ChIJuZCm9igbdkgRAVOSCMt9sUM
CoGen Limited,kirstenschlyder@cogenuk.com,ChIJqyVW1uUFdkgRjLOFomTEC38
Water UK,pmurphy@water.org.uk,ChIJl7CzCtsEdkgRfEGMr3ZtO20
Renewable Energy Agency,jason@renewableenergyagency.com,ChIJq6qq1ysFdkgReGSLRJnzFAA
Solar Americas Capital Limited,info@solaramericas.co.uk,ChIJR6DhwvUFdkgRD8b5m6qXcC8
EasyClear,info@easyclear.co.uk,ChIJBSpHyHoFdkgRYrGRj1ss6rM
Clean Energy Cap Ltd,info@cleanenergycapital.co.uk,ChIJ9YTJbLcadkgR-BhNDX0jBok
Screwfix Bayswater,matthew.hawes@screwfix.com,ChIJ___GYlUFdkgRXVWB4eBj-8g
EVoke Energy Solutions,info@evokeenergysolutions.co.uk,ChIJp6jzXtYadkgRlIY-4tKrKkY
Medlock Electrical Distributors,garry.amey@medlocks.co.uk,ChIJle5A_Ijk2EcR3JaacNX0ig4
Solar Panel Installers London,info@solarpanelinstallers.co.uk,ChIJK_k9VpYbdkgRE_9ajWFahAA
Firstway Energy,enquiries@firstwaysolar.co.uk,ChIJVVUFmzkFdkgRo2EMwRNLj6M
Solar PPA,service@solarppa.co.uk,ChIJzwL9l_wbdkgRw6jxZyaVDqg
AMD Electrical Ltd,admin@amdelectrical.co.uk,ChIJf1hrN2Dk2EcRdrXvuDD2fu0
Peartree Services,astigma@astigmatic.com,ChIJywCne1kFdkgRnbzo1nawjNw
Joju Solar,info@joju.co.uk,ChIJs3Pwqg0bdkgR29qK6h6NFc0
David Penton and Son,info@pentonshardware.co.uk,ChIJNe6E5tIadkgRixEiVsl8KYg
Capital Leads UK,hello@capital-leads.co.uk,ChIJxWzRY6cbdkgRrRUVd5mrgok
TE Connectivity,hsk@te.com,ChIJIaGvE2Tk2EcRF2OIF2rilLo
Sevenoaks Sound & Vision Chelsea,karl@ssav.com,ChIJ7-nzxXoFdkgRHYkE1K-4aMM
Hart Waste and Recycling Services Ltd,info@hartrecycling.co.uk,ChIJe3puinUFdkgR2lafrS-XXrM
HandyClick LTD,sales@handyclick.co.uk,ChIJxTgEzSQHdkgRYPXzQnbONdo
Andrews Waste,info@andrews-waste.co.uk,ChIJj9hOyHoFdkgR1XhxPJnU8_U
Bed Bug Heat Treatments,extremeheatuk@outlook.com,ChIJ0V-9t-4FdkgRSNpaGA-d8Us
Egnatia Energy,zacharias.semertzidis@group-egnatia.gr,ChIJez_IQ0EbdkgRKULT-oeEWHY
Clear Workspace Office Clearance,info@clearworkspace.co.uk,ChIJN3O3oFEbdkgR0Dq_dsylqjA
Solar Flow,info@solar-flow.co.uk,ChIJDf2tnEQFdkgRzdweWEnVxos
Nearway,info@near-way.co.uk,ChIJK0AJ2y1iY2ARk0WIu-B5hXU
Davon Energy Group,info@davonenergygroup.com,ChIJpUc9j9g_eg0RidoVN-9K8WI
Perfect Household Staff,natasha.mckie@perfecthouseholdstaff.co.uk,ChIJ-03vrtgEdkgRhisuDGUeeRQ
Chubu Electric Power Co.,last_initial@chuden.co.jp,ChIJX73Q9jQbdkgRakOPAUs5BgM
National Grid Plc,schankin@nationalgrid.com,ChIJAzeP-M4EdkgR8UjKNECRfSI
Majlis Energy,enquiry@majlisenergy.com,ChIJo7DaxNAEdkgRNiq2n8kSV1o
Bespoke Utilities,william.bush@bespokeutilities.co.uk,ChIJm78J2IOh2EcRaU9BObEh4zs
Solstice Power,hello@solstice-power.com,ChIJAQCRltUadkgRp2x4vvbrk1g
S B Electrical Solutions Ltd,info@sbelectricalsolutionsltd.co.uk,ChIJaa220EHh2EcRLxJ4Sgxhnt4
Speedy Clearances - Rubbish Removal London,info@speedyclearances.com,ChIJSeeLn6-74qcRtbF2OmpvGgk
Epsilon Generation,contact@sansoxygen.com,ChIJ_f9PC9UadkgRMroMeEd9ye8
Hako Electrical,info@hakoelectrical.com,ChIJu9BAQFvh2EcRSGHwwf0AYH0
SOLAR GREEN RENEWABLE ENERGY,enquiries@solargreenrenewableenergy.com,ChIJLdLRvc4adkgRcqplWSnRS0Q
W1 hardware and DIY,info@w1hardware.co.uk,ChIJDwA0niobdkgRr9KWBLOLtdg
Pvdb Ltd,design@pvdb.co.uk,ChIJIWwI4R0FdkgRjHj6HUtePIc
EnDCo (EPG Energy Ltd),peter.fisher@endco.co.uk,ChIJFx7M7dPr2EcRxMxtXLcxuXg
Beam Electrical Services,info@beamelectrical.co.uk,ChIJdxOFeSTh2EcROQ7cshbzv04
Glowb Ltd.,hello@glowb.uk,ChIJtfRnRvkH404RoPnqressO_s
Leyland SDM Camden | Decorating & DIY,tanisha.shah@leylandsdm.co.uk,ChIJb8xL3eEadkgRb5NSwhn3k-A
Think Bright Group Ltd,info@thinkbrightgroup.co.uk,ChIJHQuLskAFdkgRZOgB27qsEqY
Scrap Metal Collection Rubbish Removals Recycle your Waste London,eben@eyebytes.com,ChIJkWoD6VANdkgRaetXvsqU2TA
Eco Electrical Group,info@ecoelectricalgroup.co.uk,ChIJx4LqYMrkdmMRXBmpNIFL0MM
Solarel,team@latofonts.com,ChIJ-yMKFDG4Yi0RpcO0_neZ5_8
URBAN CLEARANCE AND SCRAP,info@urbanclearanceandscrap.co.uk,ChIJGbIcNroadkgRxfZSlu7buAQ
First Mile,bruce.bratley@thefirstmile.co.uk,ChIJqU5BMpscdkgRFrQ5AQezYsg
Solar Sphere Media,office@solarspheremedia.co.uk,ChIJK2U3q8wEdkgRdN9WZnhPkUs
