name,email,place_id
Stutbackarna,,ChIJu9slb3yDXEYR4HMElugqTuw
Tiveden,,ChIJ7zE-0tGEW0YRYjktIRDyhrw
Pellekula,,ChIJp228JuujW0YRsWvkh8DRAv8
Lidtorpemon,,ChIJ93xUUZSGXEYRFXgk65qU2ok
Laxtrappan,vastragotaland@lansstyrelsen.se,ChIJS0uQCvZ9W0YRcqkPFs10R64
Klevaberget,,ChIJjzydK5ZzW0YR_dJXLEDzZBw
Damsbacken,,ChIJx5F8wnijW0YRis1v7Y1npIo
Balberget,,ChIJOUJHmpuQXEYRLWy8OxhCbuM
Slata Bergen,,ChIJ_WGZd0uRW0YRPmAWNOiDWg0
Sveafallen,,ChIJV8kIHbiHXEYR6rAVQ5SdM8s
Hjortekullen,,ChIJ1XXFLl0WW0YRGq6xILEmoJo
Iglasjoberg,,ChIJASeAjO6iW0YRODGJFmgXibI
Vikaskogen,,ChIJkfkdz4ujW0YRDCLeFBPboW0
Hedkullen,,ChIJd3Pr6KSTXEYRDG-fl3u9skQ
Lindberga Klint,,ChIJnVx6fxuZW0YRJlaAUiB5HwU
Trollkarlsklint,,ChIJe7_Og85kXEYR0WQOnlLxpMM
Vaberget,,ChIJE1bRJEm7W0YR-drEPGm03LU
Kungshallar,,ChIJVQIxT7llXEYRoqE0mqZy3Gg
Bofalla,,ChIJNY-EYNf1XEYRpQ_DWzRgHKQ
Hogkullen,,ChIJQRDLJVc7W0YR58Z3_4S1y5o
Sonehult,,ChIJ34_tVM8GXEYR88kqNG2CQ0w
Haleberg,,ChIJZ0Xk0BvoW0YRBw3p_O0rL5Q
Granasen,,ChIJObN8nuX0XEYRPetPLye1CSc
Lunnakulle,,ChIJi-sCdAayW0YRCsOf-1u187Q
Radaasen,,ChIJ_zjdiRMpW0YR_C_uZRXnlEM
Klevaberget,,ChIJ40k00FelW0YRZ_RhyBtD8UI
Vitteberg,,ChIJvTFPx5PbXEYR7ZUzTTYxSE4
Rossberg,,ChIJIdyrHAZVXEYRRIpaKcVBDUs
Knattkullen,,ChIJh91pwTDlXEYRpwr6xAYY4l4
Langeberget,,ChIJ0xnasXDUWkYRZLMyssne-RQ
Torsberget,,ChIJZwsZaKrNXEYR_1rdAg0-fN0
Millberget,,ChIJj9SemWrWXEYR_L_0schs4qA
Gardsberget,,ChIJt6aqXMrMXEYRUyRAh96Ihdk
Ekeberget,,ChIJJ1qxQJ9ZXEYRJGfdjgbnpUk
Trappberget,,ChIJ_UnmyznoXEYROqjzyGyAa2k
Trollsjoberget,,ChIJf5jeNEG1XEYRon1UBk2R1Hc
Grabacken,,ChIJUatKCVTRXEYRe7FJxOPsGvs
Vargklevsberg,,ChIJwxjPdtdOXEYRM8AOM3Gk-4s
