name,email,place_id
Freiza Lab,raccoon@freizalab.se,ChIJuUKEl5vzT0YRSjJG_X2mzVw
JL3D,info@jl3d.se,ChIJy_27O-lhRUYR9ha7YE_l1HY
NA Tillverkning AB,kontakt@natillverkning.se,ChIJG2hT8g9ozwAR00fG5-_wsJo
West Print,,ChIJ3fDXBddDRUYRJbXWpHvgrVk
Skattberg AM Design AB,tobias@skattbergdesign.se,ChIJK-eJn_naYQ8R7qVdmoAJzUk
akkess,info@akkess.com,ChIJ5yS5R-HzT0YRxdzzWIlHeAk
eJuristen,info@ejuristen.nu,ChIJ35NCtTbzT0YRNH2b4JwPzyY
Blackbird Law Ab,,ChIJ_VKmSGbzT0YRPvcQTpRhg4E
hillman advokater,,ChIJ__8LT3DzT0YRlJIWUxxAh8w
Allmänna Advokatbyrån i Göteborg KB,info@allmanna-advokatbyran.se,ChIJW6eWd2TzT0YRY1DuhgUS-rA
Partille Advokatbyrå,,ChIJu7izHiH0T0YRtiAajYGGVxk
Advokatbyrån Tore Brandtler AB,,ChIJnQMLQjcCW0YR5oXi0Hep1so
Advokaterna A4 Kb,info@afyra.se,ChIJ3ZhrAr8oW0YR3j0HOwFjx6w
Advokatfirman Rydberg Rohdin,,ChIJ07IDH5foT0YR_HjYaEiJUzs
Advokat Sten-Åke Karlsson AB,,ChIJu7bC4uMPRUYRTiLp6f_uOOk
Advokat Moselius,info@advokatmoselius.se,ChIJmZ1cyeIPRUYRSE33oaWT0Wc
Johan Lindgren Förvaltning i Mariestad AB,erland@advokaterna-lvh.se,ChIJqSBXuyETW0YRnzLjf8V0EuI
Ava Advokater Ab,,ChIJd2ny7q2gWkYRzAP4rpebuZQ
Stiernström Advokatbyrå AB,,ChIJA3dP5a2gWkYRA2aTPNjjPH8
Sävedalens Advokatbyrå AB,,ChIJIUq4HiH0T0YRuq3-X55Ch_w
Advokat Helena Ejvegård AB,,ChIJH8xmMXbzT0YRhmkWopncavQ
Advokatfirman Niclas Hagard,,ChIJAQAAAHfzT0YRg9Ut7iQQ9CM
Juristfirman Samuelsson,,ChIJCeWWHmjzT0YRfDxDQrIJSiA
Marks Advokatbyrå AB,,ChIJp9tW0fUQUEYREjSpOyqq5Gg
Advokaten Kjell-Åke Lundin AB,,ChIJVVVVVcU8W0YR_s_TWLZaWYs
Napoleon juristfirma,staffan@napoleon.se,ChIJ7SOC6GnzT0YRdlmDJ9BQBB0
Allmänna Advokatbyrån i Skövde HB,,ChIJnQMLQjcCW0YR85zUprM4n0w
Advokat Allan Sarenmalm,,ChIJY2cO7jkCW0YRKyY6YTK1cHg
Advokatbyrån Christer Wersäll AB,christer@advokatbyranwersall.se,ChIJqQCQblqdX0YRrIymFxcibM8
Juristakuten.nu,info@juristakuten.nu,ChIJwx3jndX1T0YR_6gxbiyW0hc
Juridiska Byrån Familjejuridik i Göteborg AB,,ChIJuy0T93bzT0YRY9gWeqkhQEo
Advokatfirman Pia Lönn,,ChIJz2nRkmTzT0YRkUmsDxZpExw
Thunberg Advokatbyrå Ab,ulrika@thunbergadvokatbyra.se,ChIJiQjYK8XoT0YRTIjoCB5Le_o
Adelsson Advokatbyrå AB,info@adelssonadvokatbyra.se,ChIJ-1B-pHHzT0YRVhBlbP-7rOE
Advokatfirman Vinge,michaela.cronemyr@vinge.se,ChIJK_vohWPzT0YRBPajNYVVI8k
Gilborne Advokatbyrå,linn@gilborne.se,ChIJU7L-UmTzT0YRidDUwEZm-EA
Advokatbyrå Ferenda AB,matti.halme@ferenda.fi,ChIJ5350CmXzT0YRJqczYMuK5WA
Anders Segerblom Advokatbyrå,anders@asegerblom.se,ChIJAVNxBmXzT0YRsPWvJQ61ws0
"Despotovic, Branislav",,ChIJBQLz7NXyT0YRiMDE3_FjhNA
Advokat Peter Schönewald AB,peter@advokatpsab.se,ChIJq6qqupdtWkYRuVc1Yd3siA0
Wadenstens Juridiska Byrå AB,,ChIJew0GU0YqUEYR40zlo7CQzlU
FRIDEKO Ekonomi & Juridik,,ChIJAfbvcU4qUEYRXsd7SVwffio
Advokatbyrån Fredrik Almer,,ChIJf5PpVDcCW0YRm2cdihTqkIY
Nordic Law,ak@nordiclaw.se,ChIJVVVFCfZuRUYRWIsOGz5B2vg
Advokatfirman Pontus Ljunggren,,ChIJaTF_NFACW0YRhNMxMwVHEQU
Advokat Bengt Bogren AB,,ChIJoWBb0Qb4T0YR-3iEptXREP8
Advokat Mats Dahlgren,,ChIJ__97SpToT0YRHiZpoy6gRVM
Advokat AB Nordic Law,,ChIJux_INp3zT0YRl3ttFHbiBus
Advokat Paula Save AB,,ChIJ____Ax0QRUYR-z3cwCZ_Vsk
Stark advokatbyrå,niklas.hellberg@advokatstark.se,ChIJobgQDuQPRUYRviasOMZy9Jc
M&V Juridik AB,info@mvjuridik.se,ChIJVVUxfuIPRUYRUST40OFQgYo
Sävekulla Juridik,anna@savekulla.se,ChIJNaHLtMBHUEYROo3CaTePU2w
Arvstvist,,ChIJVVUZi1KnWkYRHjSmXoCy1PI
Advokat Mikael Ludwigs AB,,ChIJH8xmMXbzT0YRAOzjAdr8jGg
Advokaterna Drakenberg & von Sneidern,,ChIJTei_8FzzT0YRwnt1vQF3UR4
Advokatfirman Filippa AB,filippa@filippaadvokat.se,ChIJ7WOKGmpWRUYRLmi_rdFo-t8
Lexmarket,,ChIJOeW66zjsT0YRtBBAdtDQtIQ
GotaJuristerna,kontakt@gotajuristerna.se,ChIJM--n0nHzT0YRZrJOytq0Lzk
Advokat Christer Eiserman AB,,ChIJ9a-bdlHtT0YRSciNT92KKgY
Advokat Peter Gustafsson AB,,ChIJLW0wOLKgWkYRSJ-b3q6_Wyw
Juristpanelen Advokatbyrå,,ChIJE7nMaYnyT0YRcMm_9e4PrI8
Advokat Leif Olov Gustafsson AB,,ChIJrffB4_c8RUYRPE8XBXZMXlo
SFG Advokater,,ChIJVVVxt5HoT0YRg31biJxBiiQ
Advokatfirman Michael Hansson AB,,ChIJyRlPRQIQRUYRZ8wRRooHBXg
Västsvenska Miljörättsföreningen,info@miljorattsforeningen.se,ChIJCYAWYm_zT0YRzo_b8FZqOxY
Advokatfirman Peter Edlund AB,advokatedlund@telia.com,ChIJq6p6SG7zT0YRH2_qpvPOb88
Meijer Advokatbyrå,,ChIJFTypqGbzT0YR0rqOy0JXSg8
Magnus Hedenberg Advokat AB,,ChIJgyRIfXvzT0YRbMVROGySVZc
Advokathuset Gothia AB,info@advokathusetgothia.se,ChIJC2BAP2TzT0YRN07nenZmq3g
Allert Advokatbyrå,info@allert.se,ChIJAQAQHGjzT0YR9fxDbZ7FUuw
Bergenhem & Ullman Advokatbyrå,,ChIJ__-vbHDzT0YRLfV0r4Yk7p0
Söderbergs Advokatbyrå AB,per@soderberg-law.com,ChIJVVUxCXHzT0YRcIY7fhkKfvk
Advokatfirman Parry,info@advparry.se,ChIJC4E220rzT0YRTe0D3QordyI
Advokatfirman Ekman,,ChIJVVUxCXHzT0YRf-8I6NTCf3U
Familjerätten,,ChIJczOl6DPyT0YRx07U_jGP3Qk
Advokatfirman ALDO,info@advokatfirmanaldo.se,ChIJaaQDBmXzT0YRQwZNKNJLl0I
Bergström Melin Advokatbyrå Ab,info@bergstrommelin.se,ChIJOe2sAp7zT0YRfZ4WZL-ZTRs
Juristerna Madsen & Partners AB,,ChIJkf_0ub8DW0YR2b0rdcY9MhU
Advokaterna Melin & Fagerberg,reception@melin-fagerberg.com,ChIJb0dGeHzzT0YRQzGtBDT_gCI
Advokat Margareta Esplund,,ChIJ58nk_rGgWkYRwYibdhAkL3o
Birgitta von Sydow Advokatbyrå AB,,ChIJIT6OW3HzT0YR-0Q0Hd2WHfU
Advokatfirman Marie Abrahamsson AB,,ChIJ29BwUktTRUYRjT3ZoByLLOE
Familjerätt Göteborg,jelena.malm@lege.se,ChIJdV_0dAmNT0YRvdGeK-WzzFI
Affärsjuristgruppen,,ChIJUW_JB3HzT0YRDwowBBnza6g
Advokatbyrå Louise Katsler Waas AB,,ChIJ88r_KnDzT0YRlZRGtqVrrqc
Familjekontoret - Familjerätten,,ChIJo_RRXssPRUYRvCQp93GI3Ys
Gillström Advokatbyrå AB - Advokat Göteborg,info@gillstromadvokat.se,ChIJRdvJQ0fzT0YRDRI6wxPeJ2c
Advokatfirman Hans Billeskans AB,,ChIJ85LOlK2gWkYRwO7_qJt08bw
Advokatbyrån Ulf Carlzon,nan@advbuc.se,ChIJK0iiDGbzT0YRHdIiSH3q0AQ
