name,email,place_id
Gunpowder House,ellen.harrison@historicengland.org.uk,ChIJnSl1_wmvgEgRU4h_E-X7jUs
War Memorial,,ChIJj8G162WvgEgRvMcV6ZeucQ0
Seahouses Harbour Light,,ChIJ7VmdZQCvgEgRglZyNLak2Bg
Osborne's Fort,kristina.owen@northumberland.gov.uk,ChIJG1WGsOBNh0gRB9KleNGcGsw
The Rescue Statue,,ChIJm_lOWgCvgEgR4KAOvr2HN4k
Preston Tower | Historic Garden Wedding & Events Venue in Northumberland,info@prestontower.co.uk,ChIJYdCHjf-qgEgREsES17hun3c
Seahouses,,ChIJK7kCgFevgEgRhY1ww4e_K8I
Elford Airfield Memorial stone,info@abct.org.uk,ChIJcVLd89qvgEgR6dx7ANGEbb8
Bamburgh Castle Windmill,john@britishlistedbuildings.co.uk,ChIJZxH3nqqtgEgR7MojtK0iphk
Peters Mill Alnwick,,ChIJgyRl76MBfkgRLey_sC-RPSw
Alnwick Abbey Gatehouse,ellen.harrison@historicengland.org.uk,ChIJ0fX92NIBfkgR1d0xeS7a6K4
North Steel,,ChIJu6XNG8gFfkgRrFkNJgNwq3M
Dunstanburgh Castle,shafiq.memon@english-heritage.org.uk,ChIJT9kRci2ogEgRdRuXOILanH4
Coastal defensive bunker,,ChIJP4clJQCtgEgRofM67ykjAAA
Rock Hall,,ChIJHY0INkcBfkgR3G-iDOHwdHA
Beadnell Lime Kilns,dogstroker@hotmail.co.uk,ChIJYYL-Cz-pgEgRp9m8eW_aeG0
"Chain Home Low Radar Station, Craster",,ChIJYZa5bAADfkgRak2R712oXCA
Grace Darling Monument,,ChIJJUt_PACtgEgRF_DL9j-x_vc
Aln House,ellen.harrison@historicengland.org.uk,ChIJOZwFa3QEfkgR80PviPCdRMU
Shilbottle Tower,,ChIJddpIgN4GfkgR_Jl-nSbUvnM
Castle Point Lime Kilns,ciaran.wallace@nationaltrust.org.uk,ChIJf5qH3E1Nh0gR102lh1gQJzg
Former RAF Brunton,roy_q_royce@hotmail.com,ChIJk2c9GROrgEgRhH2LSq4u5to
Bamburgh Castle,administrator@bamburghcastle.com,ChIJL8QCWqaugEgRaMNBkVtgQvw
Old Law,,ChIJd8oU0FhNh0gRjDcifL3FCBc
Bamburgh Lighthouse,zoe.turner@trinityhouse.co.uk,ChIJl1jqwQOtgEgRkCfG0iqW4HQ
Ros Castle Camp,,ChIJiQJmMytUh0gRzPFkTbH4Tlg
Belford Castle,,ChIJaSMPZQBTh0gRCl0ayovLlWs
Blawearie Farm,,ChIJJ87_MgBVh0gRNu5Rbd1_58Y
Belford Hall,,ChIJJ_U2w6ZTh0gRDTqnjJ2STdc
Beadnell Harbour,anatolia_turkish@outlook.com,ChIJi-ADe3ipgEgReMnmUhi5KsI
The long stone,,ChIJjxB9YABVh0gRk55eCQC3w-4
Market Cross,,ChIJ44n99I1Th0gRRgbbe0YBBlo
Old Lime Pit,ellen.harrison@historicengland.org.uk,ChIJwXUgn39Ph0gRZrmza52mTvE
Lozenge Type Coastal Bunker,,ChIJF86-d7atgEgRrwtzaEdCuDA
Heritage Walks Northumberland,hiddenheritage1@gmail.com,ChIJ3-zDe8dRh0gRHREC5RFlxqc
Belford Hidden History Museum,belfordmuseum@gmail.com,ChIJxVoEw6dTh0gRdTvE9hX-F7o
Lindisfarne Priory,shafiq.memon@english-heritage.org.uk,ChIJITorBUJNh0gRcFVjOqiUZrk
Lindisfarne Castle,ciaran.wallace@nationaltrust.org.uk,ChIJky0k8qJNh0gR-1O3hJDlatA
Maelmin Henge and Trail,,ChIJQdnFcIVbh0gRrtoPxCpPS4E
Lanton Hill Memorial,,ChIJW4Zqywddh0gRT7eBeCGAPFo
Coupland Castle,,ChIJG-VSBwBbh0gR1RTlVTaLeK8
The Drake Stone,enquiries@nnpa.org.uk,ChIJaXmghk7yfUgRlmZ0I9mFhhc
Cateran Hole,dogstroker@hotmail.co.uk,ChIJTwyUlbtVh0gRQWn1DPTO_w0
Lady's Well,enquiries@nnpa.org.uk,ChIJw3ANGI3xfUgRwPvgNUrFt_s
Bell Tower,castleuk@castleuk.net,ChIJ5RJVLINIh0gRLbqxCcjUKyQ
War Memorial,ellen.harrison@historicengland.org.uk,ChIJCU4-9SVNh0gRXjx59WENCLE
Holy Island,info@visitnorthumberland.com,ChIJbzB1_T5Nh0gRCtTv62uiqsw
King's Mount,,ChIJ259FdZlIh0gRk90oKyKdnoI
Lord's Mount,shafiq.memon@english-heritage.org.uk,ChIJ-WkQSYNIh0gRoLm9Mr3Biic
Hurlestone Tower,dogstroker@hotmail.co.uk,ChIJMx4kSalXh0gRnmIRxs0FPEs
Berwick Lighthouse,admin@berwickpreservationtrust.co.uk,ChIJZc81m5VIh0gRw3MWCpvOpRU
Old Bewick Celtic Cross,,ChIJq4kJ4BZWh0gRBb2YMZ2V_JI
Celtic Cross,kristina.owen@northumberland.gov.uk,ChIJvxJIvlRNh0gRtW6Y9XJX75g
Harbottle Castle,,ChIJjYi0mzPyfUgRv-a4GZhVO0A
Halidon Hill Battlefield,edward.dawson@battlefieldstrust.com,ChIJq69tsTRGh0gRkPXFmnvLLWQ
Twizel Castle,,ChIJRYtbEvBCh0gRQs9jvoC-CeA
Old Fawdon Hill Trig Point,,ChIJ_SOKPwD5fUgRRglAulR8QC4
Lamberton Skerrs,,ChIJa6dV8vFHh0gRNB-jLCHdLBk
Duddo Five Stones,byronsissons@stone-circles.org.uk,ChIJV97CAINEh0gRHQc3L4ZbuWM
Coxon's Tower,berwicktimelines@gmail.com,ChIJPwbsM59Ih0gRBpqm7N5QFGo
Plommer’s Tower/Fisher’s Fort,shafiq.memon@english-heritage.org.uk,ChIJQ5os2phIh0gRt5kkMziJE4Q
Broad Shiel,,ChIJd6W2orNHh0gRDlX1GLLuzbo
Thirlwall Castle,enquiries@nnpa.org.uk,ChIJ9dYqtvKmfUgRPB3TDXPNoJ8
Berwick Town Walls,info@visitnorthumberland.com,ChIJxTehEZ9Ih0gRJgarrgTMnwg
