name,email,place_id
The Watership Down Inn,enquiries@watershipdowninn.com,ChIJ8QBPLUgbdEgR5AOg-AF5f8c
White Hart Hotel,thewhitehart.whitchurch@arkells.com,ChIJibvYdsEEdEgRLtZehaB_WFU
Kings Arms,stevehoward1973@yahoo.com,ChIJtRQc3-kEdEgRmkJxLYNUeFU
Blue Ginger,info@bluegingerwhitchurch.co.uk,ChIJaXmbkcEEdEgRrg7ecL9QtQA
Waterwitch,info@chefandbrewer.com,ChIJDaQmXFMvdEgRCDZoWPx4IWQ
The Red Lion,bookings@redlionodiham.co.uk,ChIJ-Qi8yvgldEgRFkXEcm46ewA
Old White Hart,davidnorburn@greeneking.co.uk,ChIJ-99AgFwmdEgR6QSQ-YhVZJA
The Queens Head Dogmersfield,info@queensheadpub.co.uk,ChIJC6AirjApdEgRcT9DxD6oGLY
The Barley Mow Winchfield,thebarleymow@yahoo.co.uk,ChIJB3fB-CEpdEgRgTw1YwuqPQg
The Derby Inn,enquiries@derbydreamon.com,ChIJR1qVRQ4mdEgRBZknDgKImy8
Hogget Hook Basingstoke,laura@thehogget.co.uk,ChIJB7eXfGYmdEgRdQa5Xk1DCPA
The Poacher Inn,info@poacherinn.com,ChIJgxrQRqEldEgRxyXd0flQOvE
El Castello Odiham,rumy@elcastello-odiham.co.uk,ChIJ1-WVtfgldEgRcy1uYqtYpgQ
Bel & The Dragon - Odiham,odiham@belandthedragon.com,ChIJX09rs_gldEgRIqytvGeW4Bc
The Mill House,mill.house@brunningandprice.co.uk,ChIJQ4XMVvQidEgR2_DJMEnEdQI
Southern Bar Services,info@southernbarservices.co.uk,ChIJZTMJj5wmdEgRpSmFPTm6V84
The Sesh Bars,hemal@theseshbars.com,ChIJ-xi2q_OfdkgR-9dqk07fO14
Royal Exchange,info@royalexchangebasingstoke.co.uk,ChIJdRtydoEhdEgRj79V4k7wsFs
Butt Inn,info@thebuttinn.com,ChIJw8TZiaahdkgRM3u8iyAgGP0
The Spring Inn,info@thespringinn.co.uk,ChIJT4H8iTOfdkgR9EYt8IBBy2g
The Calleva Arms,info@callevaarms.com,ChIJ8TTdfsOfdkgRcWb40xstu9E
Plush Lounge Bar,valerie@plushloungebar.com,ChIJfdWm4YMhdEgRD_LcL0t9CFs
The Six Bells,info@thesixbells.co.uk,ChIJmZJyRo2hdkgRIznDOjFjQE8
Gabardine Bar,info@gabardinebar.co.uk,ChIJ4U5WJ1MhdEgRZ4g5CM8tfRI
The Bull,info@thebullattheale.co.uk,ChIJkdtn7TqZdkgRUBNm7LtsDdQ
The Old Boot Inn - 18th Century family pub nestled in the beautiful Berkshire countryside,info@oldbootinnstanforddingley.co.uk,ChIJnzPXfDCidkgRurcfefK2JX8
The Queen's Head,bradfieldqueenshead@gmail.com,ChIJeddsZgSidkgRLr5q06FSd68
The Hanger Free House,info@thehangerfreehouse.co.uk,ChIJ3cZaBcsxdEgRlNF-PMBTBwY
The Horse and Groom,horsegroom7@gmail.com,ChIJZbKtqWeedkgRrjVQJmtd-6M
The Crown At Theale,contact@thecrowninntheale.co.uk,ChIJzTaLXi-ZdkgRxsdeukf6OOo
Victoria Arms,hello@frannysbarandgrill.co.uk,ChIJwxstsF2edkgRQ4cVtd-JBa4
The Red Lion,redlionmortimer@btinternet.com,ChIJU9zaF7KfdkgRomOG3rsK-UI
The Volunteer,volunteertheale@gmail.com,ChIJzTaLXi-ZdkgRQgXeucjywbg
"Holiday Inn Reading - West, an IHG Hotel",kelley.harder@ihg.com,ChIJO74hPk-fdkgRpK4G66Imnfs
Medbar Southampton,southampton@medbars.co.uk,ChIJ1zItwsp2dEgRZVT5BUp4eeE
One Oxford - VIP Cocktail & Champagne Lounge,info@deluxeoneoxford.com,ChIJkWguCDt3dEgROCQQEpQzQW4
Boom Battle Bar Southampton,dataprotection@boombattlebar.com,ChIJW0PB6UB3dEgRlGhfKAfxt84
Rita's Cocktail Bar,info@ritasbarandkitchen.co.uk,ChIJ2bpWfMR3dEgRNF3a-13PDNE
TOKYO BAR,milansouthampton@gmail.com,ChIJH1H9ZK52dEgRF7fLCCvef9k
Revolution Southampton,daniel.stone@revolution-bars.co.uk,ChIJqVIcVq52dEgRxK7_Z0MNwAk
Sharkeys Sports Bar,manager@sharkeyssportsbar.co.uk,ChIJu8odgrF2dEgRJnOlmRv34Vc
AVA'S Cocktail Bar,info@avascocktailbar.com,ChIJj1nqBcd3dEgRd7eiQbv8b8U
The Social,alex@linktr.ee,ChIJ08BvWK52dEgR7igkjLX-j_0
Sobar Southampton,sobar.soton@gmail.com,ChIJ9XGSB1VxdEgRyg55Koy9WZ0
Yates Southampton,goose.romford@stonegatepubs.com,ChIJnSOHbLF2dEgRcdYCilxODaU
Belgium And Blues,jack@belgiumandblues.co.uk,ChIJY28U7LF2dEgR_IOQLtKvGW0
All Bar One Southampton,o.ritchie@allbarone.co.uk,ChIJ8QDwqrd2dEgR14Dmucig4f0
Oasis Bar,enquiries@oasis-bar-southampton.co.uk,ChIJ-wwZG7Z2dEgR1gPhIdgNbnA
Dark Arts Potion Bar,goblins@darkartsbar.co.uk,ChIJ2zixehV3dEgRLsLXGqb4_zY
