name,email,place_id
Active Wellness @ The Monastery,hello@activehealthgroup.co.uk,ChIJWUerV7mxe0gRDbQVfa0xpZ8
CF Organic Wellness,nicola@cforganicwellness.com,ChIJsaqOxraxe0gRfynIFl-uDB8
IB Wellness,info@ibwellness.co.uk,ChIJq6puBcOxe0gRiXIhk-WscCU
Inner Glow Wellness,rachel@innerglow-wellness.co.uk,ChIJ59Y0VVize0gRcIg26t7j96c
Manchester Wellbeing Rooms,manchesterwellbeingrooms@gmail.com,ChIJawp2WFive0gRf2dRm0pa0mM
The Wellness and Spiritual Hub,info@louisaearthangel.com,ChIJN_5IZtcHe0gR-4A98g_ycKw
Tameside Wellness Centre - Denton,lyndsey.sims@activetameside.com,ChIJLzyZHQG1e0gRjb_ylWVsIag
The Wellbeing Place,jasminethaitherapyuk@gmail.com,ChIJbeeQzDSte0gRct30ltvn6G0
Cheshire Wellness Centre,info@cheshirewellnesscentre.co.uk,ChIJGdxT4Z6re0gRRalG_dV66PI
Wellness Within LTD,info@wellnesswithinltd.co.uk,ChIJoRJwPmate0gRVVd22N-q9UQ
Wellness Strength Training Ltd,info@wellness-strength-training.com,ChIJ76wH8QkHe0gRoOzw15JYcYQ
Wellness International Limited,pete.roberts@wellnessinternational.co.uk,ChIJY39hJJVNekgRqaCYZ_jSFS0
The Wellbeing & Rehabilitation Company,info@wellbeing-rehab.co.uk,ChIJ8Xy43x6ze0gRmVxvXj8Sjho
JP Therapy | Injury and Rehab Clinic | Osteopath,john@jp-therapy.co.uk,ChIJUUT8HUeqe0gRXe9oBxhC41o
Body Harmony Aesthetic,bodyharmonyaesthetic@gmail.com,ChIJcx3tMeoYUWURGhy6306ilWA
"Blake's Sports, Nutrition and Massage",contact@blakemassage.co.uk,ChIJ7VB2SFuse0gRipoIPkHu6us
Optimise Healthcare Group,info@optimisehealthcaregroup.co.uk,ChIJI3h_FYABe0gRFciF33CBI9I
Megan-Lea Sports Massage Therapy,megsportsmassagetherapy@gmail.com,ChIJb1kMwT0He0gRHIAqdb9LM7M
The Contour Clinic,info@thecontourclinic.co.uk,ChIJsezrXjOte0gRQastD3hJAek
The Bodhi Club,info@bodhipilates.co.uk,ChIJOfV9quare0gRS2wqnyghQ9s
A Beautiful Therapy,maria@abeautifultherapy.com,ChIJv7fc06BVekgR2FOp5oDQMWo
Macmillan Wellbeing Centre,achourdaki@macmillan.org.uk,ChIJZWCKMv6re0gRR_bROgNDYcI
"Mind, Body and Bowl Nutrition Ltd",louise@mindbodyandbowl.co.uk,ChIJsVzSLZOre0gRcfyxcRBkXPw
Holistic Therapies at 38,studio38yoga@gmail.com,ChIJmT1ffVGve0gRhAqqpHvBuBU
Prestwich Holistic Centre,info@prestwichholisticcentre.co.uk,ChIJYysVLJive0gRq8tWgwwiuPQ
OMNI body Healthcare,support@omnibodyhealthcare.com,ChIJtw4Tz4JNekgRYNIY7k0lOqE
Achilles Healers Sports Therapy,admin@ahst.co.uk,ChIJQ_JesGmle0gRfqXo_7exezI
The CryoLab,enquiries@thecryolab.co.uk,ChIJtfiFf1ave0gRW0e8K7J6kLU
Mind & Body Balance Therapy & Counselling,holly@mindandbodybalance.co.uk,ChIJeR1Be_-te0gRaQmmYzt7-C8
J7 Health Centre,j7health@outlook.com,ChIJ__88CWGwe0gRWy_NP4NbcW0
Oxify Manchester - Hyperbaric Oxygen Therapy,sarah@oxify.co.uk,ChIJA88uUgyve0gR4hMU9z5hgT4
By Firdous® HEALTH,hello@byfirdoushealth.com,ChIJ3QdOQ3Gle0gRE1AleZCTJUU
Wellspring House - Home of the Swedenborg Open Learning Centre,enquiries@solce.org.uk,ChIJ_aDMenGle0gRdlaiR0trlxU
Pace Health Club & Nu Spa,pace.manchester@parkinn.com,ChIJB_--OMixe0gRaRmNFZwJOVE
Adam Wilkey Chiropractic: Whitefield Clinic,adamwilkeychiropractor@gmail.com,ChIJq45mNP6le0gRyO4rs7-dPG8
Fitcamp Women Ltd.,info@fitcampwomen.co.uk,ChIJa-W9cuele0gR5E3v6I9AS-U
Manchester Therapy Rooms,info@manchestertherapyrooms.com,ChIJU0JjABSle0gRU6kO9K-E1Qs
aromathai spa,info@aromathaispa.co.uk,ChIJ10pHvUKle0gR9IXBDmSyVSE
BAI BOON THAI THERAPY,hello@baiboon.co.uk,ChIJl3ynCMave0gROWhwBSpPVKQ
Diane Nivern Clinic Ltd,therapy@dianenivern.com,ChIJVwDgMUKle0gRtYF_2IB_X1A
Northern Healthcare Ltd - Montgomery House,jack.evans@northernhealthcare.org.uk,ChIJj70FMsSle0gRoeyO5tLuGgQ
Green Door Therapy,hello@greendoortherapy.co.uk,ChIJ59gBylyve0gRqkLymwtIYnQ
David Lloyd Manchester North,hazelgeary@davidlloyd.co.uk,ChIJlyBFPpq6e0gRQH8ajogtkhI
Boost Life,bookings@7evenmodelmanagement.com,ChIJ-fS1QTqle0gRUp4zRqFnS_k
Creative Calm Yoga Studio,creativecalmstudio@gmail.com,ChIJk7NB8u-ve0gRtX98UAYaINo
Good To Talk Therapy,joe@goodtotalktherapy.co.uk,ChIJVVxiLECve0gR497zHvwrYrA
Abraham Moss Library & Leisure Centre,customerservices@gll.org,ChIJE9dBQ0awe0gR_SQGxy_awsc
PT 41 Fitness,info@pt41.co,ChIJ1fiI7uSle0gRgXUygu8GLos
Prestwich Travel Clinic,clinic@prestwichtravelclinic.co.uk,ChIJZ-p9NJqve0gRmekLo24yAw0
CAYP Psychology,enquiries@cayp-psychology.com,ChIJ_74BtN-ve0gRqH-8P0hUzYY
The Mindtraining Clinic,mindtrainingclinic@gmail.com,ChIJmWVcBR2we0gRRSUMjWkZuQg
Space Therapies,nicolaspacetherapy@gmail.com,ChIJgRDQrQqve0gRRRkRpoNDGaY
ehbany,paul.pollard@britishsportsnutritionists.com,ChIJcdya_AOle0gRnKVxfslqMbo
Jewish Action for Mental Health (JAMH),hello@jamh.org.uk,ChIJNxqTrzjAa00RIMoPKuqytJ8
Healing Hands Massage,alex@healinghandsmanchester.co.uk,ChIJ3R5xzpKle0gR_OYVFQsBDck
The Perrin Technique,info@theperrinclinic.com,ChIJHwBF_-Kve0gRVwoVCE_XT7c
LNTherapy,info@lntherapy.co.uk,ChIJY6RBVJ8MciYR3Iufiq8xwsk
Creative Living Centre,barbara.heron@creativelivingcentre.org.uk,ChIJ99RYcPSve0gRoiH_L9MkdgM
Hush Healing And Beauty,leanne_murray@yahoo.com,ChIJYTx13Jiwe0gRvko98ZnlBiY
The Gym Group Manchester Whitefield,john.treharne@thegymgroup.com,ChIJ7xtgqCKle0gRkgodNjYhiZ4
The Vaccination Clinic Manchester/ Blood Testing (TheChemistLive.com),support@thepharmacycentre.com,ChIJ-b-Ruxqle0gRkZLJOHWpjtw
Active Physiotherapy - Whitefield,info@activeclinics.com,ChIJNfD5vEKle0gR9Kvg2wf7puI
Mediskin MCR,info@mediskinmcr.co.uk,ChIJl8yBZyale0gRVzTnrJ5FOKc
Salford Mental Health Services C A B,danielle.butler@salfordcab.org.uk,ChIJ99RYcPSve0gRl3D4wDG1Vy8
Glamour Laser Clinic,bookings@glamourlaserclinic.co.uk,ChIJ9aSozMbf36QRC5Ynd2NvOAM
Imogen Rose Fitness - 1-1 Online Coaching,support@imogenrosefitness.com,ChIJ9UDNUdya60kR3I-j2RWdWA0
The LaserLab,enquiries@thelaser-lab.co.uk,ChIJH6fUxv6ve0gRoeaXCJsGs9M
Balanced Body - Mind Body & Spirit,janet@balancedbodyshop.co.uk,ChIJ493Ktv-ve0gRa9Deb3qbiNg
Howe Bridge Leisure Centre,a.ashcroft@wigan.gov.uk,ChIJx6KXhL4He0gRFm94iaaRdCY
The Pelican Centre,natalia@pelicantyldesley.co.uk,ChIJS8yyjCGoe0gRD-oDIOSU53U
Toni Marie Yoga Studio,toni@tonimarieyoga.com,ChIJBTgUmD4He0gRN_3MSmTPzXU
Soul Zone Well Being | Reiki | Personal Coaching,info@soulzoneholistics.co.uk,ChIJAd_t6IOpe0gRD1MtFsLqoc8
The Mind Body and Soul Hub,thembshub@gmail.com,ChIJ6ShT_VrgQWwRG-dajSzE9dg
Your Massage Atherton,alex@linktr.ee,ChIJn37TFD0He0gREjG8vcMkuak
Delight Thai Massage Atherton,delightthaimassage@gmail.com,ChIJd6UX5gsHe0gRVoL-rWd9GZw
Atherton Physiotherapy & Sports Injury Clinic Limited,info@athertonphysiotherapy.co.uk,ChIJk54dfgaoe0gR8sv1mYC3ECo
Evexia,facebook@evexia.clinic,ChIJX2v7hwIGe0gRB1P3yQtmj1w
Tri Fit Coaching,alexfoster@trifitcoaching.co.uk,ChIJfQ-qOT8He0gRJTgGYM-ECUg
Bodyfit Academy Leigh,ben@bodyfitacademy.co.uk,ChIJpQEmLLIHe0gRlV2mEIOUCA4
Yoga Universe Ltd,info@yogauniverse.co.uk,ChIJMTybDZEHe0gRls8ABDHuiso
Time Nutrition and Fitness Ltd,trev@timeandfitness.co.uk,ChIJL8sZYK7jPS4R9eN4wWpukU0
Fabulash,m.davies131@hotmail.com,ChIJ08fton8He0gRxFQC1-6GAjA
"Happy Chakras Yoga, Reiki, Holistic Therapies",richjones4364@gmail.com,ChIJ92siTNt5h0QR7J3JTe-Z_Kg
Aglow Health,rob@aglowhealth.com,ChIJ00NRRfUHe0gRSM7gWcyEN-k
Kronik Warrior UK Community Interest Company,info@kronikwarrioruk.org,ChIJ3zWlF3x7eUgRl3PLaah9JR0
Yoga classes at Tyldesley Methodist church,lynn.boardman@yahoo.co.uk,ChIJ1Z_RIyOoe0gR_KMcHHIbWM8
Ellen Devine Therapy,ellendevinetherapy@gmail.com,ChIJE3PkeXDRqYARgqOhTvUw9rw
Belong Atherton,kevin.brownsword@belong.org.uk,ChIJkR46tO8He0gRbeAPuBzJoZo
Hybrid Performance Centre,info@hybridperformancecentre.co.uk,ChIJtV5iibkJe0gRuulkE8wZOKc
Fern wonder Thai Massage,info@thaimassagefern.co.uk,ChIJac2vqbQHe0gRbbO7ZIPW0BE
Beautiful Bodies Aesthetics Limited,hello@fresha.com,ChIJNQCWMaype0gR9COY5YSjAK4
My Clinic Room,myclinicroomemails@gmail.com,ChIJ6d8YaE8Je0gR_qG8v25WDGo
Felicity Gibbons Counselling,melissa@counselling-directory.org.uk,ChIJaV7gKQIHe0gRlYKIdW06_Qk
Philip Anthony Counselling,phil@philipanthonycounselling.com,ChIJV3F4bU-ve0gRnWL1HM8eE9o
BB Fitness,brendan@bbfitness.org.uk,ChIJJSW9ugipe0gRqPM2r1CBFkk
Fitbank Health Group,info@fitbankhealthgroup.com,ChIJdcfdKT4Je0gRqgrMQcf4sgc
House Of Grit & Glory,contact@grit-and-glory.co.uk,ChIJ2S9itwoHe0gR__B3tvBzDzw
PureGym Tyldesley,adam@puregym.com,ChIJkZEVBU-pe0gRJyK9_6rnlV4
James Wilson Sports Massage Therapist,jameswilson13bellwood@gmail.com,ChIJP7I3Nb4Je0gR5t8YJY0l8IU
Atherleigh Park,susan.dobson@gmmh.nhs.uk,ChIJTRRzz8YHe0gRw9-YcMTud3E
Seasons Laser Clinic,hello@seasonslaserclinic.com,ChIJUcKJM_upe0gR5KUGTqQFVm4
"Crystal Health Group DNA, Drug and Alcohol Worsley",info@crystal-health.co.uk,ChIJj1m7SHKpe0gR7g5yHIwpVv0
Next Chapter Counselling and Psychotherapy,nextchapter1to1@gmail.com,ChIJbSW5R1epe0gRFPETBFOtCZc
Fade Pain Clinic,hello@fadepain.com,ChIJc7qPxtepe0gRm8XprwPvQd8
Mayfield Dental Care,info@mayfielddental.co.uk,ChIJgTIfJu4He0gR-xw2pfkXtR4
Nine Oaks Therapy,info@nineoakstherapy.co.uk,ChIJH153cQdWdkURFRfSg3SToWc
Partou Storytimes Day Nursery & Pre-school,familycareteam@partou.co.uk,ChIJ8_VZ56wHe0gRNA7idPST8wU
Han Lon Eastern Concepts,derek.ohanlon@hanloneasternconcepts.co.uk,ChIJRXnbKT2oe0gRRp5Ih4eY-k0
"mydentist, Crab Tree Lane, Manchester",jrabezzana@mydentist.co.uk,ChIJWaY87PEHe0gRUD8zmGVNrYU
Everlast Gyms - Leigh,manager.dentonfit@everlastgyms.com,ChIJzQzfVQoHe0gRF8ZMmdjCQBw
Perfect Smile Dental - Tyldesley,chirag@perfectsmile-dental.com,ChIJWyz1IT2oe0gRm9yK6NIPJ7A
Pro-Fit Personal Training Bolton,info@pro-fitpt.co.uk,ChIJ87bOZ5sJe0gRLkGGXu9wf0M
Woodlands Westhoughton Dementia Care Home & Services,info@harbourhealthcare.co.uk,ChIJk0JVSAGoe0gRjbBQTIM_Ybk
Sports Centre,d.hall@salford.ac.uk,ChIJhfdEFi-ue0gRKyphQ1ObeD8
Mountain Sports Therapy,info@mountainsportstherapy.com,ChIJS_mnFQCve0gRYoMMVQ9oojI
The Performance Space,info@theperformancespace.co.uk,ChIJm3puNoSve0gRh5nrnmeQvDA
Jean's Wellness Project,jeanswellnessproject@gmail.com,ChIJ2VkRWCQsUk4RwiiqQ80yar4
Paiigefitness,hello@paiigefitness.co.uk,ChIJ3ckq22Sve0gRNyBr7YsS2Is
Goodman Centre,john.boileau@srft.nhs.uk,ChIJ0ZScRjque0gRYh1z6_l4pOY
Sarah Wilkinson - Personal Trainer and Online Coach,getstrongcoach@gmail.com,ChIJJz1Uu0Kve0gRm41ejwHtUqU
New Era Skin Aesthetics,info@neweraskin.co.uk,ChIJq6p6ccGxe0gRJDUPJvJsDrM
Sarah Elisabeth Health & Wellness Coaching,hello@sarah-elisabeth.co.uk,ChIJQXvWGaWve0gR9pMFHeI4vjY
Manchester Neuro Physio,office@manchesterneurophysio.co.uk,ChIJ644HRt-ve0gRR_l4hmm5XnY
Clarendon Leisure Centre,lynne.harrop@scll.co.uk,ChIJYW-a8Duue0gR2C7S-MqjM14
CIMT,office@cimt.co.uk,ChIJi8wVAuixe0gRbioBccIEgew
Global Medicals Ltd (Manchester Medical Centre),info@globalmedicals.co.uk,ChIJhSFgEA6ue0gRClir969LshA
PeakForm,contact@peakform.co.uk,ChIJYyHdTr_A7SsRdQBRsZxFvBk
Acupuncture for Health,karen@acupunctureforhealth.uk.com,ChIJaR5nf1que0gRBaXXF_HCP6A
Salford Wellness Centre,helen@missionnutrition.co.uk,ChIJsbUE5duue0gR_vnnPv7pxWM
Siren Asylum Women's Alternative Fitness Centre,support@sirenasylum.com,ChIJQ6d92EOue0gR1YrkKxNyXY8
The Energise Community Centre,emma.eaton@thebiglifegroup.com,ChIJCfgKPDOue0gRHhPGKugj6-w
"The Spa & Gym at The Edwardian Manchester, A Radisson Collection Hotel",info@thespaandgym.com,ChIJQ-3wwT2xe0gRsB2LPaUoIws
Therapy-First Physiotherapy,j.siuda@therapy-first.co.uk,ChIJfT8zdmyue0gRLDYX40KUluc
Virgin Active,ashley.aylmer@virginactive.co.uk,ChIJXwZ3hmyue0gR10WPoLb4DNw
DermAssure Aesthetics,info@dermassure.net,ChIJvzyQiWuue0gRmcQCWVtA4JU
MEU Quays,recruitment@meu.org.uk,ChIJ7ZFUj9ave0gRwOlJOu7Hpzo
MoreLife Greater Manchester,carol.weir@more-life.co.uk,ChIJgW3r4nyve0gRHcMX6de7Hsw
Hope Medical,reception@hope-medical.uk,ChIJV2Gs82que0gRDjm-Mc0xrmM
RILA GROUP,ram.dhillon@rila.co.uk,ChIJTwaOsROue0gR_dXDxm9QA-Y
Zosh Occupational Health Ltd,admin@zoshoccupationalhealth.com,ChIJITdqXCWve0gRUQP3bfPdnZo
Inner Harmony With Melissa,innerharmonywithmelissa@gmail.com,ChIJd3eVMArVbSoRNEHfFaCcnxM
Medigold Health,alex.goldsmith@medigold-health.com,ChIJR5nyCxWue0gR5YnzRqzo_oM
InHealth Community Diagnostic Centre - Salford,steve.standring@inhealthgroup.com,ChIJL10kcJqve0gR_zJniAHGlhs
Counselling with Oriana,oriana@counsellingwithoriana.co.uk,ChIJnUVaXTt8nmoRW6Fy54z5yrk
The Wellness Lab,info@thewellnesslab.com,ChIJu_tDoxwbdkgR4BbnXd58NL8
The Body Lab,info@thebodylablondon.com,ChIJATwqNQsPdkgRaGBTKs7sukE
Recharge Rooms,wecare@rechargerooms.co.uk,ChIJ1w1zgPsPdkgR45CPZf3YmRg
Midtown Wellness in Covent Garden,hello@midtownwellness.co.uk,ChIJq8gT7UkbdkgRQR_5QMWw3nE
Remedi London,info@remedilondon.com,ChIJLYNxdiwFdkgR1jTCyjiCd14
Tailored Wellness,info@tailored-wellness.co.uk,ChIJvVASeucFdkgRRrH6sFFDzRI
UNTIL Soho - Flexible Wellness Workspace,liverpoolst@until.co.uk,ChIJy1x5vxgFdkgRDwzSaOAdSM8
Vitruvian Wellness,info@vitruvianwellness.co.uk,ChIJrcqtEA0bdkgR3WTxMrxGGro
"On The Lane - Massage, Beauty, Health & Wellbeing",info@onthelane.co.uk,ChIJ1xtggO0adkgR4llpdalY1Og
The Wellness People - Wellness Clinic London,roshni@thewellnesspeople.co,ChIJo3VX1RIPdkgRieNwtGW7tro
Body & Brain Yoga - Tai Chi,halls@bodynbrain.co.uk,ChIJ_YRxP8kPdkgRXAwtpmBmHy0
The Hale Clinic,katherine@haleclinic.com,ChIJf-zlENcadkgRUsDbeLO9ofo
Happy Healthy Holistic,info@happyhealthyholistic.com,ChIJ3bZ6AkgNTCoRcBaBSwhBq2c
King's Sport & Wellness Centre,nick.leake@kcl.ac.uk,ChIJ-ZqKS7cEdkgRKJ4KWrEGjwc
Health in the City,feelgoodcentre@yahoo.com,ChIJVeCg7awcdkgR-vaCTBqSJGw
LMS Wellness,info@lmswellness.com,ChIJk3g6RmoFdkgRnBvc7mXREAg
"Cloud Twelve Wellness, Spa and Kid's Club",hello@cloudtwelve.co.uk,ChIJN3J7YR0QdkgR4ARvvQD7OwY
LDN WELLNESS,hello@ldnwellness.co.uk,ChIJ24U9tWoddkgRtK1mAMaXgbM
Shiozawa Wellness,fiona@shiozawawellness.com,ChIJhTrFVTsEdkgRV0zE1iax4oo
58 wellbeing Centre,info@58sms.co.uk,ChIJmcSZmCwFdkgRZgRpsCCZu2Q
COMO Shambhala Urban Escape,nicola.wood@comohotels.com,ChIJ9c6hvPYPdkgRO75wmBH0YfU
Walking on Clouds | Hampstead | Massage & Physiotherapy,booking@walkingonclouds.co.uk,ChIJ5dDMIGQbdkgRe4lNbzc0hZ8
The Well Centre,info@thewellcentre.org,ChIJ_9HSa50GdkgRkQLonB31PhA
