name,email,place_id
i90,hello@i90.uk,ChIJ69DJlTHUfUgRvStvDk_6hKw
Indigo Software Limited,george.wanley@indigo.co.uk,ChIJ7-NYkm99fkgRjBFlNdIfDNM
Grape Software,info@grapesoftware.co.uk,ChIJGXplnXh9fkgRyhtCRTxaIr0
Denore Trading,info@denoretrading.com,ChIJ6ebWAwzUfUgR35ndscwox8k
Bespoke Software Development,contact@schnellsolutions.com,ChIJhYU2oxczdkgRPcgFDjjTado
Unified Software Ltd,rmiller@unifiedsoftware.co.uk,ChIJqav8VTtjfkgRRxcPbX4HPJw
Database Software Solutions Ltd,alex@dbasesolution.co.uk,ChIJkQ11153afUgRNVwdFC5TJBo
OnePoint Systems Ltd,stephen@onepointsystems.com,ChIJX2z45ad8fkgRQ9bz85tmNCU
RAMs Software,hello@rams-app.co.uk,ChIJ6U1wCHp3fkgRkTFQUNfMJbE
iComunico,info@icomunico.com,ChIJAQAARWzafUgRBiq5nK7okFw
Specilaist Ai,info@specialistai.co.uk,ChIJExdRGlqBfkgRKIlqk_AKz1c
Northgate Systems,info@northgatesystems.co.uk,ChIJXTquhewzfEgR5KgQMZ71Fu0
Solid Solutions - SolidWorks in Durham,simon.turner@solidsolutions.co.uk,ChIJb7L3VTtjfkgReIVHIORTHjc
Orangetree Online,hello@orangetree-online.co.uk,ChIJ0_O4s8zXfUgRaq0G_54ut80
Recite Me - Web Accessibility Software,ross@reciteme.com,ChIJRx3HM7xwfkgR5zxUXIvLWmo
Continuum-IT Ltd.,enquiries@it-continuum.co.uk,ChIJHUODyR_WfUgRzGO5HIoAmQA
Verum Digital,contact@verumdigital.co.uk,ChIJw7urt-wLLQwRao_gUxYNTlY
Computer Technology Services,enquiries@computertechnologyservices.co.uk,ChIJG9uWVXd9fkgRPo-OXtGrjU4
Discovery Design,james@discoverydesign.co.uk,ChIJQ_tR9VmCfkgR2EyIAVcn34U
Nutshell Apps,last@nutshellapps.com,ChIJS5RYMrxwfkgRwoED6wVsVGE
Choppity,aaron@choppity.com,ChIJd75wNZx9fkgRajX5LqnZ1Fs
The Broadband Computer Company,customersupport@keepstick.com,ChIJOUo_P-txfkgRs0iW_jYEwtQ
E S Systems Ltd,e.harrison@essystems.co.uk,ChIJ292_il5-fkgRr1U3h3W7ExA
WebsiteProject4u I Web Design Consett I Tanie Strony Internetowe UK,websiteproject4u@gmail.com,ChIJO0r8BJDRfUgRFdBi-_gB2bw
PC-NE,admin@pc-ne.co.uk,ChIJzyh5YAd6fkgRjBQ6cnD8ieU
DXP Solutions,info@dxps.com,ChIJo9DnOlAqfEgR3zclhOqjMU4
Opencast,andrew.howard@opencastsoftware.com,ChIJi90I8pJwfkgRMplXgYjyotw
Inflo,bill.carrera@inflosoftware.com,ChIJX8E0qDxjfkgRC82FsUV7AVE
Wordnerds,hello@wordnerds.ai,ChIJV4Pv0b1wfkgR3skcWdhQy-A
Entwine Solutions,enquiries@entwinesolutions.co.uk,ChIJYfPDb2MpfEgRwnsDMP1NEaI
Excelpoint Limited,gary.ingram@excelpoint.co.uk,ChIJVTvfmRmDfkgRgZMte5rCJkM
Intel-I-Gent Solutions,intel-i-gent@live.co.uk,ChIJ5S4Tqz_afUgRbiPZ-kmkFJo
Sage,nazma.qurban@sage.co.uk,ChIJq1VgIKF2fkgRMfU0Q9DCkFk
SourceGuardian Limited,sales@sourceguardian.com,ChIJ1WP-xZV4fkgRRszbC5Vk8W0
