name,email,place_id
ServiceMaster Clean Dorset,debbie@servicemasterclean.co.uk,ChIJNVNVUuhZckgRVoDNxqb1Aa8
The Carpet Doctor,steverjc@thecarpetdoctor.org.uk,ChIJzat-6cZZckgRke2BgrFQVHA
MW Carpet Care - Carpet & Upholstery Cleaning,mark@mwcarpetcare.co.uk,ChIJzeLD1_b2ckgRtwmiu2RR1nc
Dorset and Devon Cleaning,enquiries@danddcarpetcleaning.co.uk,ChIJ5YZfSCl5ckgRmhgpcM1POSU
Aspire Cleaning Services (Purbeck) Limited,acspurbeck@outlook.com,ChIJXyE0ejOrc0gRz_biVX70bhM
Dorset Furnishing Care,info@dorsetfurnishingcare.co.uk,ChIJp0HHMRmkc0gRn6vc2TwXyl4
Cloverclean,info@cloverclean.co.uk,ChIJyVvplk1WckgRXy7lFQV7zgc
Hard Clean Services,hi@typemade.mx,ChIJmzmkk8ZZckgR_BsERnxfBnY
UKCS - UK Clean Solutions,info@ukcleansolutions.com,ChIJMbo5Ge-zc0gRgsmgwJPCqeE
Carpet And Upholstery Cleaning Services - seeuclean.co.uk,cuclean1@gmail.com,ChIJJcsmQJmjc0gRKNN9gg1lwHg
JC Cleaning Services Ltd,info@jccleaningservicesltd.co.uk,ChIJadzsdsBZckgR-hapA6e4rGo
DD Carpet Cleaners,damian.barry@aol.co.uk,ChIJWXYxgzGzc0gRzSdwwx3qHws
Chesil Edge Cleaning Services,chesiledgecs@hotmail.com,ChIJgfLTQRL3ckgRplz4tpr5NwE
Kwik Dry Dorset UK,info@kwikdry.uk,ChIJo2H9TuWhc0gRXqShnZXmr-M
Coast Carpet Cleaners,ian@coastcarpetcleaners.co.uk,ChIJg17xnuyic0gRk24LzB1QjHg
The Rug Clinic,rugclinicdorset@gmail.com,ChIJ9UgsYKJZckgR1z0h3Cv_r7g
Grime Scene Cleaning Services,grimesceneteam@gmail.com,ChIJRU0AimUVqK4RQU6ON28StZg
"Cleaning Doctor Carpet, Upholstery & Tile Cleaning Services Bournemouth & Poole",gohir.khattak@cleaningdoctor.co.uk,ChIJc7eVWLChc0gR2e0LnRm3gnQ
GB Cleaning Services,info@cleaningservicesgb.co.uk,ChIJhzlCSMleckgRbCZj9lWI50g
JK pristine clean,jkpristineclean@gmail.com,ChIJt0SMVujAxmcRvARmy0CxiaQ
Carpetsure,richardjoyce@carpetsure.co.uk,ChIJSYxorL6mc0gREL04GYrKqfY
DC Carpet cleaning ltd,info@dccarpetcleaning.co.uk,ChIJhblpDFifc0gRokmNRR26ldM
The Carpet Wizard,info@thecarpetwizard.co,ChIJAV-UlSOic0gRCNMakQzeAro
"SS Cleaning, Bournemouth, UK",admin@sscleaning.uk,ChIJpWw7UqIM82cRzQ3pwPBHjRs
The Carpet & Upholstery Cleaners - Parkstone and Poole,info@thecarpetcleaners.co.uk,ChIJy-T_hj-hc0gREzcEjCx8z7Q
Dorset Cleaning Services,cleanme@dorsetcleaningservices.co.uk,ChIJtZvim_ihc0gRKwmcIw3NM-s
Cleaner Touch,cleanertouchltd@outlook.com,ChIJZ2HJorClc0gRVr-_-1yW5pU
Nationwide Cleaners Dorset,eugene@nationwidecleaners.co.uk,ChIJI91uvWyxc0gRxlgKwCI_nYk
UCST Cleaning Services,spotless@ultracleaningserviceteam.info,ChIJfQbPHFH3ckgRu42ojfN7oYw
Clean Living Poole,enquiries@cleanlivingmcc.com,ChIJSc5Bg3npc0gR056_-KGgplE
MB Complete Cleaning,info@mb-completecleaning.co.uk,ChIJKTY5Ayuhc0gRrRFUuGV8h0o
Eco Steam Cleaning,fugazipub@gmail.com,ChIJByfHCKv3ckgRoe8rdzrwR4s
Christchurch Carpet Cleaners,admin@christchurchcarpetcleaners.co.uk,ChIJnyGwJQ-cc0gRrZJZcFNq9is
Purbeck Carpet Care,purbeckcarpetcare@outlook.com,ChIJUd4gvxPBxoMRVtncsi2z_SY
The Window Cleaner Ltd,info@thewindowcleanerweymouth.co.uk,ChIJLV86srv3ckgRU4oQ966LOTk
The Carpet Company,matt@thecarpetcompany.co.uk,ChIJUcduPgn3ckgRtIZxLLnsLqM
Hampshire Express Carpet Cleaning,hampshireexpressocs@hotmail.co.uk,ChIJl5ILlUlCdEgRcvxZwpvLZ0A
Remarkable Carpets & Flooring,info@remarkablecarpets.com,ChIJl-ezZln2ckgRI5LCcShKPHw
Elite Cleaning Ltd,elitecleanltd@yahoo.com,ChIJEQjxHaujc0gRtu5pc1f9NTw
Sparkling Clean,mel.sparklingclean@gmail.com,ChIJbaYvjcnwckgRmn2jKg_UXq8
RJS Window Cleaning Services,service@paypal.com,ChIJbaYY3AP3ckgRpZjqpHukVXs
Weymouth Cleaning,rjscleanearth@aol.com,ChIJdTXzFKf3ckgRUQXOsSBaYNc
Home Help Services,info@home-helps.co.uk,ChIJu7ghbxFkckgRvvzQIbs05DI
Rise & Shine Cleaning Services,mandysmith105@gmail.com,ChIJvx1SvHhkckgRNQXcWL97cyI
Delcare Cleaning Services,delcare@hotmail.co.uk,ChIJYUKT9294ckgRybeOulhPnWI
TCH CLEANING,tchcleaning@outlook.com,ChIJESdBB01jckgR1RA6dRew8F8
JM Carpets & Flooring / Supplier and Fitter,joe@jmcf.co.uk,ChIJWQ2c3_J5ckgR7PcAN6OPKWc
southwest specialist cleaning ltd,info@southwestspecialistcleaning.co.uk,ChIJmTUmz_VlckgRS4o2rNO1FPg
AGC Rug Cleaning Services,info@tauntoncleaning.co.uk,ChIJpWeHTol1ckgRNCPSkQMGruU
Pile-Up Carpet & Upholstery Cleaning Services,office@pile-up.co.uk,ChIJzfXcQfyoc0gRtsl-80Ak2J4
Steamsmiths - Carpet and Upholstery Deep Cleaning Service,steamsmithsbcp@gmail.com,ChIJRyBfhA2fc0gRcH-mOBgQ3VE
Supreme Carpet Cleaners,martyn@supremecarpetcleaners.co.uk,ChIJ0ZG3_bqmc0gRC8XVWGubgCU
Stour Cleaning Services,info@stourcleaningservices.com,ChIJh4zR1Wujc0gRwoG-4jhA_Yg
Dorset Steam Cleaning Services,info@dorsetsteamcleaning.co.uk,ChIJTVyf-xuic0gRfZTS_-uJxZM
Your Choice Cleaning With Care Ltd,lovedrycarpets@gmail.com,ChIJV3-Q5bijc0gRvJySOmI2rCg
MG Cleaning Co,info@mgcleaningco.co.uk,ChIJIaPUTUS-hIQROwaKUBo3z5s
Performance Cleaning Ltd,contact@performancecleaningltd.co.uk,ChIJqewAhUOfc0gRYch4YWe28os
Abracadabra Cleaning Specialists,abracadabra.cleaning@live.co.uk,ChIJ_0kRygiic0gRQzyVs56PXj0
Carpet Local,info@carpetlocal.co.uk,ChIJhenUnEifc0gRzMf0Zi_LWEA
Safeclean Bournemouth & Poole,robertglover@safeclean.co.uk,ChIJT5tSn1yjc0gRLfTjCjB0Y8A
Taunton Cleaning Service,admin@buywithconfidence.gov.uk,ChIJdU-JRUpzckgRvNiWnvASSXk
Max e-Clean,informationinfo@maxe-clean.co.uk,ChIJsfAgXZEpckgRGhlJ3jyrqFc
FibreSolve - Professional Carpet & Upholstery Cleaning,contact@fibresolve.net,ChIJ_eO1jjAXckgR51pYFapDjZQ
CleaningMaster,info@cleaningmasteruk.co.uk,ChIJIUcswr-ic0gRZlHeWY3natU
